"","SiteID","Total_Vessels","Begin_Hour_loc","Begin_Date_loc","ves_yn","Weekday","Week","Month","Day_month","trans_inside","man_inside","total_inside"
"61","Cod Grounds",0,21,2019-04-19,"N","Friday",16,4,19,NA,NA,NA
"62","Cod Grounds",0,22,2019-04-19,"N","Friday",16,4,19,NA,NA,NA
"63","Cod Grounds",0,23,2019-04-19,"N","Friday",16,4,19,NA,NA,NA
"64","Cod Grounds",1,0,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"65","Cod Grounds",0,1,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"66","Cod Grounds",0,2,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"67","Cod Grounds",0,3,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"68","Cod Grounds",0,4,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"69","Cod Grounds",0,5,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"70","Cod Grounds",2,6,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"71","Cod Grounds",1,7,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"72","Cod Grounds",1,8,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"73","Cod Grounds",1,9,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"74","Cod Grounds",1,10,2019-04-20,"Y","Saturday",16,4,20,0,1,1
"75","Cod Grounds",1,11,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"76","Cod Grounds",1,12,2019-04-20,"Y","Saturday",16,4,20,NA,NA,NA
"77","Cod Grounds",0,13,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"78","Cod Grounds",0,14,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"79","Cod Grounds",0,15,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"80","Cod Grounds",0,16,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"81","Cod Grounds",0,17,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"82","Cod Grounds",0,18,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"83","Cod Grounds",0,19,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
