"","Filename","Date","Selection","RMS","PeakFreq","PeakLev","Verified","used","...9","ins_sm","out_sm","ins_med","out_med","ins_lg","out_lg","pins_sm","pins_med","pins_lg","pins_ovrll"
"32","470581301.200930054055_sel01_S3.wav",200930000000,"S3",106.9562953,245,82.1379826,1,1,NA,215,479,0,940,0,0,0.309798270893372,0,NA,0.131578947368421
"33","470581301.201001054046_sel08_S13.wav",201001000000,"S13",109.1753415,145,96.71784007,1,1,NA,109,0,130,1116,0,303,1,0.104333868378812,0,0.176383763837638
"34","470581301.201004064015_sel01_S1.wav",201004000000,"S1",113.6191207,92,102.9262808,1,1,NA,49,0,193,413,0,1006,1,0.318481848184819,0,0.369465648854962
"35","470581301.201008003944_sel01_S2.wav",201008000000,"S2",105.8347073,1020,70.69647886,1,1,NA,114,1419,0,0,0,0,0.0743639921722113,NA,NA,0.0743639921722113
"36","470581301.201009003935_sel04_S6.wav",201009000000,"S6",117.1562213,131,105.5893853,1,1,NA,34,0,208,229,0,1069,1,0.475972540045767,0,0.51380042462845
"37","470581301.201012003909_sel01_S1.wav",201012000000,"S1",110.2649035,74,100.5138963,1,1,NA,67,0,174,633,0,786,1,0.215613382899628,0,0.275743707093822
"38","470581301.201014003852_sel04_S1.wav",201014000000,"S1",107.7195175,80,93.47896636,1,1,NA,167,0,70,1419,0,0,1,0.0470114170584285,NA,0.143115942028986
"39","470581301.201019003810_sel01_S1.wav",201019000000,"S1",108.3735454,75,92.19338594,1,1,NA,197,0,39,1419,0,0,1,0.0267489711934156,NA,0.142598187311178
"40","470581301.201020003802_sel01_S1.wav",201020000000,"S1",109.3639014,160,91.3717187,1,1,NA,219,0,16,1419,0,0,1,0.0111498257839721,NA,0.142079806529625
"41","470581301.201028003641_sel01_S1.wav",201028000000,"S1",107.2991013,1263,72.05433904,1,1,NA,135,1419,0,0,0,0,0.0868725868725869,NA,NA,0.0868725868725869
"42","470581301.201029003629_sel02_S2.wav",201029000000,"S2",107.4330048,1274,72.88399627,1,1,NA,146,1419,0,0,0,0,0.0932907348242811,NA,NA,0.0932907348242811
"43","470581301.201031003611_sel01_S1.wav",201031000000,"S1",110.7576916,80,99.22856302,1,1,NA,79,0,162,777,0,642,1,0.172523961661342,0,0.236738703339882
"44","671653910.201102014023_sel01_S2.wav",201102000000,"S2",97.32829674,515,69.22823026,1,1,NA,86,1419,0,0,0,0,0.0571428571428571,NA,NA,0.0571428571428571
"45","470581301.200909113836_sel04_S3.wav",200909000000,"S3",104.3154593,200,76.82603523,1,1,NA,185,1100,0,319,0,0,0.143968871595331,0,NA,0.115336658354115
"46","470581301.200913054330_sel02_S1.wav",200913000000,"S1",105.8434955,157,76.83496903,1,1,NA,185,1098,0,321,0,0,0.144193296960249,0,NA,0.115336658354115
"47","470581301.200914054321_sel02_S1.wav",200914000000,"S1",106.4239478,158,73.91680287,1,1,NA,158,1419,0,0,0,0,0.100190234622701,NA,NA,0.100190234622701
"48","470581301.200915054313_sel23_S4.wav",200915000000,"S4",107.4065629,325,76.32438625,1,1,NA,181,1177,0,242,0,0,0.133284241531664,0,NA,0.113125
"49","470581301.200916054305_sel04_S2.wav",200916000000,"S2",106.5655335,216,81.06289003,1,1,NA,210,578,0,841,0,0,0.266497461928934,0,NA,0.128913443830571
"50","470581301.200924054149_sel01_S5.wav",200924000000,"S5",112.0368796,608,80.73337327,1,1,NA,209,611,0,808,0,0,0.254878048780488,0,NA,0.128378378378378
"51","470581301.200924054149_sel04_S7.wav",200924000000,"S7",106.3171068,713,72.4749783,1,1,NA,141,1419,0,0,0,0,0.0903846153846154,NA,NA,0.0903846153846154
"52","470581301.200925054140_sel01_S1.wav",200925000000,"S1",107.5559447,2218,76.14734605,1,1,NA,180,1206,0,213,0,0,0.12987012987013,0,NA,0.112570356472795
"53","470581301.200926054130_sel01_S1.wav",200926000000,"S1",106.1046413,1779,72.04890015,1,1,NA,135,1419,0,0,0,0,0.0868725868725869,NA,NA,0.0868725868725869
"54","470581301.200926054130_sel02_S3.wav",200926000000,"S3",108.8317501,498,80.01802503,1,1,NA,205,686,0,733,0,0,0.230078563411897,0,NA,0.126231527093596
"55","470581301.200928054112_sel04_S1.wav",200928000000,"S1",103.8255326,460,78.98862887,1,1,NA,200,806,0,613,0,0,0.198807157057654,0,NA,0.123533045089561
"56","470581301.200928054112_sel06_S2.wav",200928000000,"S2",105.5230137,214,75.14360467,1,1,NA,171,1375,0,44,0,0,0.110608020698577,0,NA,0.107547169811321
"57","470581301.200928054112_sel11_S3.wav",200928000000,"S3",106.3008031,776,76.40393751,1,1,NA,182,1165,0,254,0,0,0.135115070527097,0,NA,0.11367895065584
"58","470581301.200930054055_sel02_S2.wav",200930000000,"S2",105.2526667,218,81.48504635,1,1,NA,212,538,0,881,0,0,0.282666666666667,0,NA,0.129981606376456
"59","470581301.201003054025_sel10_S4.wav",201003000000,"S4",108.5800422,200,79.48393381,1,1,NA,203,747,0,672,0,0,0.213684210526316,0,NA,0.125154130702836
"60","470581301.201009003935_sel01_S3.wav",201009000000,"S3",109.6101235,1436,80.488299,1,1,NA,208,636,0,783,0,0,0.246445497630332,0,NA,0.127842655193608
"61","470581301.201013003900_sel03_S1.wav",201013000000,"S1",105.1326271,217,78.3073687,1,1,NA,196,891,0,528,0,0,0.1803127874885,0,NA,0.121362229102167
"62","470581301.201014003852_sel04_S2.wav",201014000000,"S2",105.6579574,1143,76.87274099,1,1,NA,186,1093,0,326,0,0,0.145426114151681,0,NA,0.11588785046729
"63","470581301.201017003826_sel01_S1.wav",201017000000,"S1",105.4484487,903,74.98820457,1,1,NA,169,1402,0,17,0,0,0.107574793125398,0,NA,0.106423173803526
"64","470581301.201023063731_sel01_S1.wav",201023000000,"S1",108.4946713,439,77.19497926,1,1,NA,188,1045,0,374,0,0,0.152473641524736,0,NA,0.11698817672682
"65","470581301.201023063731_sel02_S2.wav",201023000000,"S2",105.234929,75,69.64136683,1,1,NA,95,1419,0,0,0,0,0.0627476882430647,NA,NA,0.0627476882430647
"66","470581301.201025003713_sel01_S1.wav",201025000000,"S1",109.1114616,705,74.92177609,1,1,NA,169,1414,0,5,0,0,0.106759317751105,0,NA,0.106423173803526
"67","470581301.201030003621_sel03_S3.wav",201030000000,"S3",105.5687055,709,73.10940908,1,1,NA,149,1419,0,0,0,0,0.0950255102040816,NA,NA,0.0950255102040816
"68","470581301.201030003621_sel04_S4.wav",201030000000,"S4",105.8259463,204,88.26030317,1,1,NA,231,94,0,1325,0,0,0.710769230769231,0,NA,0.14
