"","Filename","Date","Selection","RMS","PeakFreq","PeakLev","Verified","used","...9","ins_sm","out_sm","ins_med","out_med","ins_lg","out_lg","pins_sm","pins_med","pins_lg","pins_ovrll"
"33","805830683.180830011655_sel15_S12.wav",180830000000,"S12",116.1837942,202,98.15395074,1,1,NA,38,0,14,73,0,26,1,0.160919540229885,0,0.416
"34","805830683.180830011655_sel16_S14.wav",180830000000,"S14",119.3220572,176,110.6269653,1,1,NA,13,0,42,14,0,47,1,0.75,0,0.797101449275362
"35","805830683.180830011655_sel17_S16.wav",180830000000,"S16",114.5811227,176,98.95021462,1,1,NA,37,0,16,69,0,30,1,0.188235294117647,0,0.434426229508197
"36","805830683.180830011655_sel18_S19.wav",180830000000,"S19",117.1133223,193,99.66794859,1,1,NA,35,0,18,66,0,33,1,0.214285714285714,0,0.445378151260504
"37","805830683.180830011655_sel07_S5.wav",180830000000,"S5",118.7265047,106,103.5098986,1,1,NA,25,0,29,46,0,53,1,0.386666666666667,0,0.54
"38","805830683.180830011655_sel08_S6.wav",180830000000,"S6",117.1420382,156,96.59131582,1,1,NA,43,0,9,82,0,17,1,0.0989010989010989,0,0.388059701492537
"39","805830683.180830011655_sel09_S7.wav",180830000000,"S7",117.4468194,163,106.5556053,1,1,NA,20,0,35,32,0,50,1,0.522388059701492,0,0.632183908045977
"40","805830683.180830011655_sel12_S8.wav",180830000000,"S8",113.7758548,227,92.44247475,1,1,NA,49,7,0,92,0,0,0.875,0,NA,0.331081081081081
"41","805830683.180830011655_sel14_S9.wav",180830000000,"S9",113.8311237,59,103.7476726,1,1,NA,25,0,29,45,0,52,1,0.391891891891892,0,0.545454545454545
"42","805830683.180901010938_sel01_S1.wav",180901000000,"S1",118.1853871,79,103.8696338,1,1,NA,24,0,30,45,0,52,1,0.4,0,0.545454545454545
"43","805830683.180901010938_sel02_S2.wav",180901000000,"S2",120.4463896,220,97.55468855,1,1,NA,40,0,12,77,0,22,1,0.134831460674157,0,0.403100775193798
"44","805830683.180902010928_sel05_S4.wav",180902000000,"S4",109.9836601,121,95.24548745,1,1,NA,47,0,4,89,0,10,1,0.043010752688172,0,0.364285714285714
"45","805830683.180906005100_sel14_S14.wav",180906000000,"S14",109.8863938,196,81.4577573,1,1,NA,35,56,0,43,0,0,0.384615384615385,0,NA,0.261194029850746
"46","805830683.180906005100_sel03_S6.wav",180906000000,"S6",112.824623,223,96.19396203,1,1,NA,45,0,7,84,0,15,1,0.0769230769230769,0,0.382352941176471
"47","805830683.180906005100_sel07_S7.wav",180906000000,"S7",111.5506038,227,94.69134497,1,1,NA,49,0,2,92,0,7,1,0.0212765957446809,0,0.356643356643357
"48","805830683.180906005100_sel10_S8.wav",180906000000,"S8",113.341268,51,103.0964284,1,1,NA,26,0,28,48,0,51,1,0.368421052631579,0,0.529411764705882
"49","805830683.180910004910_sel03_S6.wav",180910000000,"S6",110.4589205,209,86.8782793,1,1,NA,44,30,0,69,0,0,0.594594594594595,0,NA,0.307692307692308
