,Filename,Date,Selection,RMS,PeakFreq,PeakLev,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll
36,5458.210517053015_sel08_S7.wav,2.10517E+11,S7,116.8458237,389,92.61713032,1,109,0,7,654,0,457,1,0.010590015,0,0.150649351
37,5458.210517053015_sel10_S8.wav,2.10517E+11,S8,123.7434243,136,109.0645097,1,15,0,106,48,0,289,1,0.688311688,0,0.715976331
38,5458.210518053006_sel03_S2.wav,2.10518E+11,S2,107.8959268,307,75.76807938,1,77,485,0,626,0,0,0.137010676,0,NA,0.064814815
39,5458.210518053006_sel03_S8.wav,2.10518E+11,S8,105.5680065,205,70.85394316,1,43,759,0,352,0,0,0.05361596,0,NA,0.037261698
40,5458.210518053006_sel04_S3.wav,2.10518E+11,S3,111.2537964,499,79.6712623,1,94,312,0,799,0,0,0.231527094,0,NA,0.078008299
41,5458.210518053006_sel06_S4.wav,2.10518E+11,S4,115.4829289,128,93.18577039,1,102,0,14,621,0,490,1,0.022047244,0,0.157394844
42,5458.210518053006_sel07_S5.wav,2.10518E+11,S5,109.4508071,74,81.04723983,1,98,261,0,850,0,0,0.272980501,0,NA,0.081058726
43,5458.210518053006_sel08_S10.wav,2.10518E+11,S10,107.1524625,225,84.38040644,1,106,155,0,956,0,0,0.406130268,0,NA,0.087099425
44,5458.210518053006_sel08_S6.wav,2.10518E+11,S6,108.9357598,181,95.7815003,1,76,0,42,484,0,620,1,0.079847909,0,0.196013289
45,5458.210518053006_sel09_S7.wav,2.10518E+11,S7,107.7899909,857,77.23173754,1,85,416,0,695,0,0,0.169660679,0,NA,0.071070234
46,5458.210519052957_sel01_S1.wav,2.10519E+11,S1,127.019368,58,112.1328955,1,10,0,110,0,1,223,1,1,0.004464286,1
47,5458.210519052957_sel01_S13.wav,2.10519E+11,S13,106.6851161,171,89.22268013,1,113,45,0,819,0,247,0.715189873,0,0,0.115660184
