"","Filename","Date","Selection","RMS","PeakFreq","PeakLev","reviewed","used","...9","ins_sm","out_sm","ins_med","out_med","ins_lg","out_lg","pins_sm","pins_med","pins_lg","pins_ovrll"
"32","671653910.201029014058_sel01_S3.wav",201029000000,"S3",99.17249547,116,78.72857751,1,1,NA,201,835,0,1618,0,0,0.194015444015444,0,NA,0.0757347400150716
"33","671653910.201030014049_sel01_S3.wav",201030000000,"S3",99.90946787,3668,69.05698401,1,1,NA,86,2453,0,0,0,0,0.0338716029933045,NA,NA,0.0338716029933045
"34","671653910.200911043527_sel02_S6.wav",200911000000,"S6",99.00137245,428,73.40821636,1,1,NA,155,1702,0,751,0,0,0.0834679590737749,0,NA,0.0594325153374233
"35","671653910.200911043527_sel04_S1.wav",200911000000,"S1",98.35895687,646,70.77826327,1,1,NA,118,2303,0,150,0,0,0.0487401900041305,0,NA,0.0458965383119409
"36","671653910.200911043527_sel13_S4.wav",200911000000,"S4",99.73404809,788,74.93018252,1,1,NA,172,1410,0,1043,0,0,0.108723135271808,0,NA,0.0655238095238095
"37","671653910.200912043519_sel02_S5.wav",200912000000,"S5",98.68586858,769,73.55828536,1,1,NA,157,1672,0,781,0,0,0.0858392564242756,0,NA,0.0601532567049808
"38","671653910.200913043509_sel01_S1.wav",200913000000,"S1",97.68415514,76,73.52949833,1,1,NA,157,1678,0,775,0,0,0.085558583106267,0,NA,0.0601532567049808
"39","671653910.200917043428_sel03_S2.wav",200917000000,"S2",99.9894311,526,71.90009159,1,1,NA,136,2032,0,421,0,0,0.0627306273062731,0,NA,0.0525299343375821
"40","671653910.200924043316_sel06_S6.wav",200924000000,"S6",101.7741064,469,75.07384904,1,1,NA,173,1384,0,1069,0,0,0.111111111111111,0,NA,0.0658796648895659
"41","671653910.200925043305_sel02_S1.wav",200925000000,"S1",100.6098068,752,72.92547523,1,1,NA,150,1803,0,650,0,0,0.0768049155145929,0,NA,0.0576258163657319
"42","671653910.200926004600_sel01_S1.wav",200926000000,"S1",99.86975091,1027,75.39898178,1,1,NA,176,1327,0,1126,0,0,0.117099135063207,0,NA,0.0669456066945607
"43","671653910.200927004550_sel01_S1.wav",200927000000,"S1",102.4377683,197,73.81104402,1,1,NA,160,1621,0,832,0,0,0.0898371701291409,0,NA,0.0612323000382702
"44","671653910.200927004550_sel03_S5.wav",200927000000,"S5",103.8963555,530,78.98387492,1,1,NA,203,803,0,1650,0,0,0.201789264413519,0,NA,0.0764307228915663
"45","671653910.200929004532_sel08_S9.wav",200929000000,"S9",101.2534103,522,75.57929697,1,1,NA,178,1296,0,1157,0,0,0.120759837177748,0,NA,0.0676548840744964
"46","671653910.201002004504_sel02_S1.wav",201002000000,"S1",98.25827616,527,75.69502274,1,1,NA,179,1277,0,1176,0,0,0.12293956043956,0,NA,0.0680091185410334
"47","671653910.201009014357_sel01_.wav",201009000000,"S2",97.34437615,62,83.52183477,1,1,NA,222,364,0,2089,0,0,0.378839590443686,0,NA,0.0829906542056075
"48","671653910.201010014349_sel01_.wav",201010000000,NA,99.2126188,1485,71.22500553,1,1,NA,125,2192,0,261,0,0,0.0539490720759603,0,NA,0.0484871993793638
"49","671653910.201011014341_sel01_S1.wav",201011000000,"S1",100.6779948,1835,77.17708665,1,1,NA,191,1045,0,1408,0,0,0.15453074433657,0,NA,0.0722390317700454
"50","671653910.201011014341_sel02_S3.wav",201011000000,"S3",100.0174438,1434,72.86401315,1,1,NA,149,1817,0,636,0,0,0.0757884028484232,0,NA,0.0572636433512683
"51","671653910.201015014303_sel01_S7.wav",201015000000,"S7",100.4272103,522,73.03053535,1,1,NA,151,1781,0,672,0,0,0.0781573498964803,0,NA,0.0579877112135177
"52","671653910.201023014154_sel02_S3.wav",201023000000,"S3",103.8839329,722,77.00936704,1,1,NA,190,1069,0,1384,0,0,0.150913423351867,0,NA,0.0718880060537268
"53","671653910.201024014144_sel01_S2.wav",201024000000,"S2",101.8706544,767,76.53461934,1,1,NA,186,1141,0,1312,0,0,0.14016578749058,0,NA,0.070481242895036
"54","671653910.201024014144_sel02_S3.wav",201024000000,"S3",99.9796003,1350,75.23703916,1,1,NA,175,1355,0,1098,0,0,0.11437908496732,0,NA,0.0665905631659056
"55","671653910.201025014133_sel03_S4.wav",201025000000,"S4",100.2204343,458,69.41050144,1,1,NA,93,2453,0,0,0,0,0.0365278868813826,NA,NA,0.0365278868813826
"56","671653910.200925043305_sel03_S5.wav",200925000000,"S5",100.4404925,1901,72.18250539,1,1,NA,140,1967,0,486,0,0,0.0664451827242525,0,NA,0.0539915156189742
"57","671653910.200925043305_sel04_S6.wav",200925000000,"S6",97.96012009,740,69.43976908,1,1,NA,94,2453,0,0,0,0,0.0369061641146447,NA,NA,0.0369061641146447
