"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes","SiteID"
"114",2021-05-14,17,0,1,0,NA,"TRW"
"115",2021-05-14,18,0,NA,0,NA,"TRW"
"116",2021-05-14,19,0,NA,0,NA,"TRW"
"117",2021-05-14,20,0,NA,0,NA,"TRW"
"118",2021-05-14,21,0,NA,0,NA,"TRW"
"119",2021-05-14,22,0,NA,0,NA,"TRW"
"120",2021-05-14,23,0,NA,0,NA,"TRW"
"121",2021-05-15,0,0,NA,0,NA,"TRW"
"122",2021-05-15,1,0,NA,0,NA,"TRW"
"123",2021-05-15,2,0,NA,0,NA,"TRW"
"124",2021-05-15,3,1,2,0,"M at 3:57:54; Added on review; Added on review","TRW"
"125",2021-05-15,4,0,1,1,"Added on review; Added on review","TRW"
"126",2021-05-15,5,0,NA,0,NA,"TRW"
"127",2021-05-15,6,0,NA,0,NA,"TRW"
"128",2021-05-15,7,0,NA,0,NA,"TRW"
"129",2021-05-15,8,0,NA,0,NA,"TRW"
"130",2021-05-15,9,0,NA,0,NA,"TRW"
"131",2021-05-15,10,0,NA,0,NA,"TRW"
"132",2021-05-15,11,0,NA,0,NA,"TRW"
"133",2021-05-15,12,0,NA,0,NA,"TRW"
"134",2021-05-15,13,0,NA,0,NA,"TRW"
"135",2021-05-15,14,0,NA,0,NA,"TRW"
"136",2021-05-15,15,0,NA,0,NA,"TRW"
"137",2021-05-15,16,0,NA,0,NA,"TRW"
"138",2021-05-15,17,0,NA,0,NA,"TRW"
"139",2021-05-15,18,0,NA,0,NA,"TRW"
"140",2021-05-15,19,0,NA,0,NA,"TRW"
"141",2021-05-15,20,0,NA,0,NA,"TRW"
"142",2021-05-15,21,0,NA,0,NA,"TRW"
"143",2021-05-15,22,0,NA,0,NA,"TRW"
"144",2021-05-15,23,0,NA,0,NA,"TRW"
"145",2021-05-16,0,0,NA,0,NA,"TRW"
"146",2021-05-16,1,0,NA,0,NA,"TRW"
"147",2021-05-16,2,0,2,0,NA,"TRW"
"148",2021-05-16,3,0,NA,0,NA,"TRW"
"149",2021-05-16,4,0,1,0,NA,"TRW"
"150",2021-05-16,5,0,NA,0,NA,"TRW"
"151",2021-05-16,6,1,0,0,NA,"TRW"
"152",2021-05-16,7,1,0,0,NA,"TRW"
"153",2021-05-16,8,0,NA,0,NA,"TRW"
"154",2021-05-16,9,0,NA,0,NA,"TRW"
"155",2021-05-16,10,0,NA,0,NA,"TRW"
"156",2021-05-16,11,0,NA,0,NA,"TRW"
"157",2021-05-16,12,0,NA,0,NA,"TRW"
"158",2021-05-16,13,0,NA,0,NA,"TRW"
"159",2021-05-16,14,0,NA,0,NA,"TRW"
"160",2021-05-16,15,0,NA,0,NA,"TRW"
"161",2021-05-16,16,0,NA,0,NA,"TRW"
"162",2021-05-16,17,0,NA,0,NA,"TRW"
"163",2021-05-16,18,0,NA,0,NA,"TRW"
"164",2021-05-16,19,0,1,0,NA,"TRW"
"165",2021-05-16,20,0,NA,0,NA,"TRW"
"166",2021-05-16,21,0,NA,0,NA,"TRW"
"167",2021-05-16,22,0,NA,0,NA,"TRW"
"168",2021-05-16,23,0,NA,0,NA,"TRW"
"169",2021-05-17,0,0,NA,0,NA,"TRW"
"170",2021-05-17,1,0,NA,0,NA,"TRW"
"171",2021-05-17,2,0,NA,0,NA,"TRW"
"172",2021-05-17,3,0,1,0,NA,"TRW"
"173",2021-05-17,4,0,NA,0,NA,"TRW"
"174",2021-05-17,5,0,NA,0,NA,"TRW"
"175",2021-05-17,6,0,1,0,NA,"TRW"
"176",2021-05-17,7,0,NA,0,NA,"TRW"
"177",2021-05-17,8,0,1,0,NA,"TRW"
"178",2021-05-17,9,0,NA,0,NA,"TRW"
"179",2021-05-17,10,0,NA,0,NA,"TRW"
"180",2021-05-17,11,0,NA,0,NA,"TRW"
"181",2021-05-17,12,0,NA,0,NA,"TRW"
"182",2021-05-17,13,0,NA,0,NA,"TRW"
"183",2021-05-17,14,0,NA,0,NA,"TRW"
"184",2021-05-17,15,0,NA,0,NA,"TRW"
