"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
2 "Spectrogram 1" 1 22611.48174413 23500.051078102 1334.7 1733.1 "2018/7/11" "9:00:05.4817" "9:14:54.0511" 888.5693 "DTransit" "on/off, possibly small close" 2018-07-11
3 "Spectrogram 1" 1 30522.81021437 32238.985385721 498 3386.5 "2018/7/11" "11:11:57.8102" "11:40:33.9854" 1716.1752 "DTransit" "" 2018-07-11
4 "Spectrogram 1" 1 34698.810218537 35627.058380033 59.8 7788.8 "2018/7/11" "12:21:33.8102" "12:37:01.0584" 928.2482 "CPA" "" 2018-07-11
5 "Spectrogram 1" 1 36363.875906752 37167.569338139 139.4 5318.7 "2018/7/11" "12:49:18.8759" "13:02:42.5693" 803.6934 "CTransit" "" 2018-07-11
6 "Spectrogram 1" 1 49958.474448449 50513.583929501 796.8 6075.7 "2018/7/11" "16:35:51.4744" "16:45:06.5839" 555.1095 "Maneuver+TransitA" "" 2018-07-11
7 "Spectrogram 1" 1 51949.510939355 51965.145974042 1454.2 3904.4 "2018/7/11" "17:09:02.5109" "17:09:18.1460" 15.635 "DTransit" "small close" 2018-07-11
8 "Spectrogram 1" 1 52477.423343263 52532.999979167 1115.5 2848.6 "2018/7/11" "17:17:50.4233" "17:18:46.0000" 55.5766 "DTransit" "small" 2018-07-11
9 "Spectrogram 1" 1 57519.722606022 57866.583917245 79.7 9442.2 "2018/7/11" "18:41:53.7226" "18:47:39.5839" 346.8613 "CPA" "" 2018-07-11
10 "Spectrogram 1" 1 70170.851744433 71849.430587105 358.6 3027.9 "2018/7/11" "22:12:43.8517" "22:40:42.4306" 1678.5788 "DTransit" "" 2018-07-11
11 "Spectrogram 1" 1 82244.102135614 84465.459786496 458.2 2988 "2018/7/12" "1:33:56.1021" "2:10:58.4598" 2221.3577 "DTransit" "" 2018-07-11
12 "Spectrogram 1" 1 84896.802858516 86921.342995179 278.9 3266.9 "2018/7/12" "2:18:09.8029" "2:51:52.3430" 2024.5401 "CTransit" "" 2018-07-11
13 "Spectrogram 1" 1 99218.496281569 99904.59846694 1553.8 4083.7 "2018/7/12" "6:16:49.4963" "6:28:15.5985" 686.1022 "DTransit" "" 2018-07-11
14 "Spectrogram 1" 1 104444.934251612 105353.999933577 99.6 3346.6 "2018/7/12" "7:43:55.9343" "7:59:04.9999" 909.0657 "CTransit" "" 2018-07-11
15 "Spectrogram 1" 1 106300.642272278 106597.182421442 119.5 4103.6 "2018/7/12" "8:14:51.6423" "8:19:47.1824" 296.5401 "DTransit" "" 2018-07-11
16 "Spectrogram 1" 1 108528.569284215 109086.437889036 119.5 8525.9 "2018/7/12" "8:51:58.5693" "9:01:16.4379" 557.8686 "CPA" "" 2018-07-11
17 "Spectrogram 1" 1 109859.51818528 110381.124020575 318.7 3964.1 "2018/7/12" "9:14:09.5182" "9:22:50.1240" 521.6058 "DTransit" "" 2018-07-11
18 "Spectrogram 1" 1 111137.518187363 111335.518183196 1952.2 3027.9 "2018/7/12" "9:35:27.5182" "9:38:45.5182" 198 "DTransit" "on/off" 2018-07-11
19 "Spectrogram 1" 1 111398.18970879 111516.569275882 139.4 2131.5 "2018/7/12" "9:39:47.1897" "9:41:46.5693" 118.3796 "DTransit" "" 2018-07-11
20 "Spectrogram 1" 1 112170.087523418 113022.262701019 0 6175.3 "2018/7/12" "9:52:39.0875" "10:06:51.2627" 852.1752 "CTransit" "" 2018-07-11
21 "Spectrogram 1" 1 114093.328401734 114218.67147167 478.1 3625.5 "2018/7/12" "10:24:43.3284" "10:26:48.6715" 125.3431 "DTransit" "" 2018-07-11
22 "Spectrogram 1" 1 116502.963440587 117461.69336913 99.6 3984.1 "2018/7/12" "11:04:52.9634" "11:20:51.6934" 958.7299 "DTransit" "" 2018-07-11
23 "Spectrogram 1" 1 117772.423297673 117843.503581417 2410.4 2948.2 "2018/7/12" "11:26:02.4233" "11:27:13.5036" 71.0803 "DTransit" "small" 2018-07-11
24 "Spectrogram 1" 1 120351.678773601 120646.379506919 1115.5 3326.7 "2018/7/12" "12:09:01.6788" "12:13:56.3795" 294.7007 "DTransit" "" 2018-07-11
25 "Spectrogram 1" 1 121969.051036679 122072.846645103 3127.5 3386.5 "2018/7/12" "12:35:58.0510" "12:37:42.8466" 103.7956 "DTransit" "" 2018-07-11
26 "Spectrogram 1" 1 122588.145930535 123171.766357193 59.8 3286.9 "2018/7/12" "12:46:17.1459" "12:56:01.7664" 583.6204 "DTransit" "" 2018-07-11
27 "Spectrogram 1" 1 127795.926949681 127916.802848099 2266.4 2803.2 "2018/7/12" "14:13:05.9269" "14:15:06.8028" 120.8759 "DTransit" "" 2018-07-11
28 "Spectrogram 1" 1 128106.394104532 133050.678791575 159 6004 "2018/7/12" "14:18:16.3941" "15:40:39.6788" 4944.2847 "Maneuver+CPA" "on/off" 2018-07-11
29 "Spectrogram 1" 1 159766.751785888 160573.467114173 357.9 3200.8 "2018/7/12" "23:05:54.7518" "23:19:21.4671" 806.7153 "DTransit" "" 2018-07-11
1 "Spectrogram 1" 1 1603.182464948 3110.715324681 537.8 2928.3 "2018/7/13" "3:09:35.1825" "3:34:42.7153" 1507.5329 "DTransit" NA 2018-07-13
2 "Spectrogram 1" 1 12481.226276536 13431.547428178 99.6 2828.7 "2018/7/13" "6:10:53.2263" "6:26:43.5474" 950.3212 "DTransit" NA 2018-07-13
3 "Spectrogram 1" 1 17669.474435949 18435.065681965 79.7 6772.9 "2018/7/13" "7:37:21.4744" "7:50:07.0657" 765.5912 "Maneuver+CPA" NA 2018-07-13
4 "Spectrogram 1" 1 28132.072983896 28392.48173163 1832.7 3884.5 "2018/7/13" "10:31:42.0730" "10:36:03.4817" 260.4087 "DTransit" NA 2018-07-13
5 "Spectrogram 1" 1 42788.934288869 43284.525528634 657.4 3964.1 "2018/7/13" "14:35:59.9343" "14:44:13.5255" 495.5912 "DTransit" NA 2018-07-13
6 "Spectrogram 1" 1 73166.948890648 74177.182462865 458.2 2888.4 "2018/7/13" "23:02:14.9489" "23:19:05.1825" 1010.2336 "DTransit" NA 2018-07-13
7 "Spectrogram 1" 1 117117.861311223 118088.416055915 298.8 8227.1 "2018/7/14" "11:14:43.8613" "11:30:54.4161" 970.5547 "CTransit" NA 2018-07-13
8 "Spectrogram 1" 1 123493.014589279 123507.729916043 876.5 1573.7 "2018/7/14" "13:00:58.0146" "13:01:13.7299" 14.7153 "DTransit" NA 2018-07-13
1 "Spectrogram 1" 1 6794.671515176 7266.218962105 836.7 1434.3 "2018/7/15" "4:35:48.6715" "4:43:40.2190" 471.5474 "DTransit" "on/off" 2018-07-15
2 "Spectrogram 1" 1 8117.145974985 8263.11677976 856.6 1474.1 "2018/7/15" "4:57:51.1460" "5:00:17.1168" 145.9708 "DTransit" "" 2018-07-15
3 "Spectrogram 1" 1 12692.208454649 13971.087562105 0 4541.8 "2018/7/15" "6:14:06.2085" "6:35:25.0876" 1278.8791 "Maneuver+TransitA" "on/off" 2018-07-15
4 "Spectrogram 1" 1 14802.766410462 15067.510924118 99.6 4960.2 "2018/7/15" "6:49:16.7664" "6:53:41.5109" 264.7445 "DTransit" "" 2018-07-15
5 "Spectrogram 1" 1 15504.306569419 15978.875895058 876.5 5378.5 "2018/7/15" "7:00:58.3066" "7:08:52.8759" 474.5693 "DTransit" "" 2018-07-15
6 "Spectrogram 1" 1 16528.467147324 16945.620421214 119.5 3964.1 "2018/7/15" "7:18:02.4671" "7:24:59.6204" 417.1533 "CTransit" "" 2018-07-15
7 "Spectrogram 1" 1 18327.284663625 18405.065676521 119.5 2510 "2018/7/15" "7:48:01.2847" "7:49:19.0657" 77.781 "DTransit" "" 2018-07-15
8 "Spectrogram 1" 1 19036.284666986 19307.992683485 577.7 4143.4 "2018/7/15" "7:59:50.2847" "8:04:21.9927" 271.708 "DTransit" "" 2018-07-15
9 "Spectrogram 1" 1 20418.868598571 20431.350348951 1075.7 1454.2 "2018/7/15" "8:22:52.8686" "8:23:05.3503" 12.4818 "DTransit" "" 2018-07-15
10 "Spectrogram 1" 1 20922.343049103 21059.11677465 179.3 8047.8 "2018/7/15" "8:31:16.3430" "8:33:33.1168" 136.7737 "CTransit" "" 2018-07-15
11 "Spectrogram 1" 1 22189.832103498 22280.226272369 79.7 5358.6 "2018/7/15" "8:52:22.8321" "8:53:52.2263" 90.3942 "Maneuver+TransitA" "" 2018-07-15
12 "Spectrogram 1" 1 23086.678827524 23143.700718735 976.1 2729.1 "2018/7/15" "9:07:19.6788" "9:08:16.7007" 57.0219 "DTransit" "" 2018-07-15
13 "Spectrogram 1" 1 23728.76641945 23915.598533364 119.5 4741 "2018/7/15" "9:18:01.7664" "9:21:08.5985" 186.8321 "Maneuver+TransitA" "" 2018-07-15
14 "Spectrogram 1" 1 24050.007295681 24250.299266682 2071.7 2430.3 "2018/7/15" "9:23:22.0073" "9:26:42.2993" 200.292 "DTransit" "" 2018-07-15
15 "Spectrogram 1" 1 25097.350357284 25856.503629091 0 7290.8 "2018/7/15" "9:40:49.3504" "9:53:28.5036" 759.1533 "Maneuver+CPA" "" 2018-07-15
16 "Spectrogram 1" 1 26122.051092686 26742.459836253 418.3 2430.3 "2018/7/15" "9:57:54.0511" "10:08:14.4598" 620.4087 "DTransit" "" 2018-07-15
17 "Spectrogram 1" 1 27120.328461907 27217.291954334 597.6 2490 "2018/7/15" "10:14:32.3285" "10:16:09.2920" 96.9635 "DTransit" "" 2018-07-15
18 "Spectrogram 1" 1 27493.861302889 27741.131384763 199.2 3784.9 "2018/7/15" "10:20:46.8613" "10:24:53.1314" 247.2701 "DTransit" "" 2018-07-15
19 "Spectrogram 1" 1 28414.489046061 28821.919693339 1474.1 3804.8 "2018/7/15" "10:36:06.4890" "10:42:54.9197" 407.4306 "DTransit" "on/off" 2018-07-15
20 "Spectrogram 1" 1 29372.299266682 29881.948898981 159.4 4940.2 "2018/7/15" "10:52:04.2993" "11:00:34.9489" 509.6496 "DTransit" "" 2018-07-15
21 "Spectrogram 1" 1 30895.072981813 31002.284666986 219.1 3266.9 "2018/7/15" "11:17:27.0730" "11:19:14.2847" 107.2117 "DTransit" "" 2018-07-15
22 "Spectrogram 1" 1 31619.686123206 31719.277371305 876.5 4462.2 "2018/7/15" "11:29:32.6861" "11:31:11.2774" 99.5912 "Maneuver+TransitA" "on/off" 2018-07-15
23 "Spectrogram 1" 1 32067.583937835 33413.036488823 617.5 3047.8 "2018/7/15" "11:37:00.5839" "11:59:25.0365" 1345.4526 "DTransit" "on/off" 2018-07-15
24 "Spectrogram 1" 1 35434.554728026 35563.576629653 517.9 3984.1 "2018/7/15" "12:33:07.5547" "12:35:16.5766" 129.0219 "DTransit" "" 2018-07-15
25 "Spectrogram 1" 1 37443.328461907 42429.525539051 119.5 7251 "2018/7/15" "13:06:35.3285" "14:29:42.5255" 4986.1971 "CTransit" "" 2018-07-15
26 "Spectrogram 1" 1 42597.175173434 42836.824799483 3366.5 4442.2 "2018/7/15" "14:32:29.1752" "14:36:29.8248" 239.6496 "DTransit" "" 2018-07-15
27 "Spectrogram 1" 1 49611.788306493 50492.474448449 318.7 2828.7 "2018/7/15" "16:29:23.7883" "16:44:03.4744" 880.6861 "CTransit" "" 2018-07-15
28 "Spectrogram 1" 1 56693.408749818 57221.583927418 517.9 2828.7 "2018/7/15" "18:27:24.4087" "18:36:13.5839" 528.1752 "DTransit" "" 2018-07-15
29 "Spectrogram 1" 1 100578.45984667 100767.919697506 896.4 2251 "2018/7/16" "6:38:48.4598" "6:41:57.9197" 189.4599 "DTransit" "" 2018-07-15
30 "Spectrogram 1" 1 102793.510947689 105304.182471198 259 9780.9 "2018/7/16" "7:15:43.5109" "7:57:33.1825" 2510.6715 "CTransit" "" 2018-07-15
31 "Spectrogram 1" 1 105686.204374909 108233.959820696 438.2 9282.9 "2018/7/16" "8:03:55.2044" "8:46:22.9598" 2547.7554 "Maneuver+CPA" "on/off" 2018-07-15
32 "Spectrogram 1" 1 108660.23356805 111213.313862211 139.4 5438.2 "2018/7/16" "8:53:28.2336" "9:36:01.3139" 2553.0803 "CTransit" "" 2018-07-15
33 "Spectrogram 1" 1 123592.583927418 123942.335749255 418.3 2151.4 "2018/7/16" "13:02:21.5839" "13:08:10.3357" 349.7518 "DTransit" "" 2018-07-15
34 "Spectrogram 1" 1 128719.824798145 129133.956186329 2330.7 4262.9 "2018/7/16" "14:27:48.8248" "14:34:42.9562" 414.1314 "DTransit" "" 2018-07-15
35 "Spectrogram 1" 1 133187.109462105 134939.810195423 199.2 3466.1 "2018/7/16" "15:42:14.1095" "16:11:26.8102" 1752.7007 "CTransit" "" 2018-07-15
36 "Spectrogram 1" 1 146706.291954136 147523.518230672 597.6 2808.8 "2018/7/16" "19:27:33.2920" "19:41:10.5182" 817.2263 "DTransit" "" 2018-07-15
37 "Spectrogram 1" 1 155852.919682725 156209.50362056 478.1 2091.6 "2018/7/16" "21:59:58.9197" "22:05:55.5036" 356.5839 "DTransit" "" 2018-07-15
38 "Spectrogram 1" 1 159391.43063458 161385.620409793 99.6 3147.4 "2018/7/16" "22:58:57.4306" "23:32:11.6204" 1994.1898 "CTransit" "" 2018-07-15
39 "Spectrogram 1" 1 162120.335746974 162404.919693142 398.4 3008 "2018/7/16" "23:44:26.3357" "23:49:10.9197" 284.5839 "CTransit" "" 2018-07-15
1 "Spectrogram 1" 1 1061.737215891 2443.138684611 378.5 2968.1 "2018/7/17" "2:59:59.7372" "3:23:01.1387" 1381.4015 "DTransit" "" 2018-07-17
2 "Spectrogram 1" 1 14029.357652965 18583.489035204 179.3 8705.2 "2018/7/17" "6:36:07.3577" "7:52:01.4890" 4554.1314 "CTransit" "" 2018-07-17
3 "Spectrogram 1" 1 18770.452554714 19157.649627692 1274.9 3107.6 "2018/7/17" "7:55:08.4526" "8:01:35.6496" 387.1971 "DTransit" "" 2018-07-17
4 "Spectrogram 1" 1 19186.686120681 25446.744499285 318.7 3286.9 "2018/7/17" "8:02:04.6861" "9:46:23.7445" 6260.0584 "DTransit" "" 2018-07-17
5 "Spectrogram 1" 1 22376.496339659 23077.4452257 1175.3 6135.5 "2018/7/17" "8:55:13.4963" "9:06:54.4452" 700.9489 "Maneuver+TransitA" "" 2018-07-17
6 "Spectrogram 1" 1 24788.839409595 25236.999979167 1135.5 5000 "2018/7/17" "9:35:25.8394" "9:42:53.0000" 448.1606 "Maneuver+TransitA" "" 2018-07-17
7 "Spectrogram 1" 1 25496.554734687 25676.291958911 1653.4 4402.4 "2018/7/17" "9:47:13.5547" "9:50:13.2920" 179.7372 "DTransit" "" 2018-07-17
8 "Spectrogram 1" 1 27376.043793248 27563.401454547 39.8 6434.3 "2018/7/17" "10:18:32.0438" "10:21:40.4015" 187.3577 "Maneuver+TransitA" "" 2018-07-17
9 "Spectrogram 1" 1 28654.007291515 28852.532834732 338.6 6693.2 "2018/7/17" "10:39:50.0073" "10:43:09.5328" 198.5255 "Maneuver+TransitA" "" 2018-07-17
10 "Spectrogram 1" 1 32422.240869982 33199.919705839 79.7 4502 "2018/7/17" "11:42:39.2409" "11:55:36.9197" 777.6788 "Maneuver+TransitA" "" 2018-07-17
11 "Spectrogram 1" 1 35100.430641028 37358.065692381 219.1 3745 "2018/7/17" "12:27:17.4306" "13:04:54.0657" 2257.6351 "DTransit" "on/off" 2018-07-17
12 "Spectrogram 1" 1 38633.846709443 38973.350357284 1513.9 6155.4 "2018/7/17" "13:26:10.8467" "13:31:50.3504" 339.5036 "Maneuver+TransitA" "" 2018-07-17
13 "Spectrogram 1" 1 41287.072979729 43784.357655049 139.4 9183.3 "2018/7/17" "14:10:23.0730" "14:51:59.3577" 2497.2847 "Maneuver+CPA" "" 2018-07-17
14 "Spectrogram 1" 1 57003.82480365 57160.832103498 318.7 1454.2 "2018/7/17" "18:32:19.8248" "18:34:56.8321" 157.0073 "DTransit" "" 2018-07-17
15 "Spectrogram 1" 1 100857.605831128 101501.204361588 557.8 1394.4 "2018/7/18" "6:43:11.6058" "6:53:54.2044" 643.5985 "DTransit" "on/off" 2018-07-17
16 "Spectrogram 1" 1 102687.75911878 103780.635017199 219.1 9561.8 "2018/7/18" "8:53:00.7591" "9:11:13.6350" 1092.8759 "CPA" "" 2018-07-17
17 "Spectrogram 1" 1 105222.211661436 105642.649625228 358.6 7350.6 "2018/7/18" "9:35:14.2117" "9:42:15.6496" 420.438 "CTransit" "" 2018-07-17
18 "Spectrogram 1" 1 105840.912394754 108995.051069069 0 3804.8 "2018/7/18" "9:45:33.9124" "10:38:07.0511" 3154.1387 "CTransit" "on/off" 2018-07-17
19 "Spectrogram 1" 1 109039.197068111 109308.671508227 219.1 4143.4 "2018/7/18" "10:38:51.1971" "10:43:21.6715" 269.4744 "DTransit" "" 2018-07-17
20 "Spectrogram 1" 1 109805.773699179 110166.299242397 418.3 5278.9 "2018/7/18" "10:51:38.7737" "10:57:38.2992" 360.5255 "DTransit" "" 2018-07-17
21 "Spectrogram 1" 1 110526.036464538 111699.058376582 119.5 8147.4 "2018/7/18" "11:03:38.0365" "11:23:11.0584" 1173.0219 "Maneuver+TransitA" "" 2018-07-17
22 "Spectrogram 1" 1 113349.277351186 113920.021866925 199.2 6015.9 "2018/7/18" "11:50:41.2774" "12:00:12.0219" 570.7445 "CTransit" "" 2018-07-17
23 "Spectrogram 1" 1 117895.26275149 119814.167863884 478.1 3685.3 "2018/7/18" "13:06:27.2628" "13:38:26.1679" 1918.9051 "DTransit" "" 2018-07-17
24 "Spectrogram 1" 1 121010.708002631 121030.547416393 876.5 4004 "2018/7/18" "13:58:23.7080" "13:58:43.5474" 19.8394 "DTransit" "" 2018-07-17
25 "Spectrogram 1" 1 121425.496332041 123105.474427935 239 9302.8 "2018/7/18" "14:05:18.4963" "14:33:18.4744" 1679.9781 "Maneuver+TransitA" "" 2018-07-17
26 "Spectrogram 1" 1 125336.291950487 125688.5401224 916.3 4721.1 "2018/7/18" "15:10:27.2920" "15:16:19.5401" 352.2482 "Maneuver+TransitA" "" 2018-07-17
27 "Spectrogram 1" 1 126409.459821989 127200.277342457 99.6 7051.8 "2018/7/18" "15:28:20.4598" "15:41:31.2773" 790.8175 "CPA" "" 2018-07-17
28 "Spectrogram 1" 1 127234.941569434 128964.824771746 139.4 5896.4 "2018/7/18" "15:42:06.9416" "16:10:56.8248" 1729.8832 "Maneuver+TransitA" "" 2018-07-17
29 "Spectrogram 1" 1 129397.218938534 129457.131340359 478.1 3426.3 "2018/7/18" "16:18:08.2189" "16:19:08.1313" 59.9124 "DTransit" "" 2018-07-17
30 "Spectrogram 1" 1 129701.248137926 130040.094851536 0 7490 "2018/7/18" "16:23:12.2481" "16:28:51.0949" 338.8467 "Maneuver+CPA" "" 2018-07-17
31 "Spectrogram 1" 1 130548.299228528 130988.970766621 219.1 7390.4 "2018/7/18" "16:37:19.2992" "16:44:40.9708" 440.6715 "Maneuver+TransitA" "" 2018-07-17
32 "Spectrogram 1" 1 138439.24848233 138714.63533052 0 9004 "2018/7/18" "18:48:50.2485" "18:53:26.6353" 275.3868 "CPA" "" 2018-07-17
33 "Spectrogram 1" 1 163261.774025547 164355.306876946 219.1 2808.8 "2018/7/19" "1:42:31.7740" "2:00:45.3069" 1093.5329 "DTransit" "" 2018-07-17
1 "Spectrogram 1" 1 13287.02189746 16853.649615633 239 5816.7 "2018/7/19" "6:23:28.0219" "7:22:54.6496" 3566.6277 "CTransit" "" 2018-07-19
2 "Spectrogram 1" 1 21148.423349513 21239.99998125 2131.5 3107.6 "2018/7/19" "8:34:29.4233" "8:36:00.0000" 91.5766 "DTransit" "" 2018-07-19
