"","Begin_Date","Begin_Hour","Transit","Notes","SiteID"
"138",2020-02-13,17,0,NA,"MRW"
"139",2020-02-13,18,0,NA,"MRW"
"140",2020-02-13,19,0,NA,"MRW"
"141",2020-02-13,20,0,NA,"MRW"
"142",2020-02-13,21,0,NA,"MRW"
"143",2020-02-13,22,0,NA,"MRW"
"144",2020-02-13,23,0,NA,"MRW"
"145",2020-02-14,0,0,NA,"MRW"
"146",2020-02-14,1,0,NA,"MRW"
"147",2020-02-14,2,0,NA,"MRW"
"148",2020-02-14,3,0,NA,"MRW"
"149",2020-02-14,4,0,NA,"MRW"
"150",2020-02-14,5,0,NA,"MRW"
"151",2020-02-14,6,0,NA,"MRW"
"152",2020-02-14,7,0,NA,"MRW"
"153",2020-02-14,8,0,NA,"MRW"
"154",2020-02-14,9,0,NA,"MRW"
"155",2020-02-14,10,0,NA,"MRW"
"156",2020-02-14,11,0,NA,"MRW"
"157",2020-02-14,12,0,NA,"MRW"
"158",2020-02-14,13,0,NA,"MRW"
"159",2020-02-14,14,0,NA,"MRW"
"160",2020-02-14,15,0,NA,"MRW"
"161",2020-02-14,16,0,NA,"MRW"
"162",2020-02-14,17,0,NA,"MRW"
"163",2020-02-14,18,0,NA,"MRW"
"164",2020-02-14,19,0,NA,"MRW"
"165",2020-02-14,20,0,NA,"MRW"
"166",2020-02-14,21,0,NA,"MRW"
"167",2020-02-14,22,0,NA,"MRW"
"168",2020-02-14,23,0,NA,"MRW"
"169",2020-02-15,0,0,NA,"MRW"
"170",2020-02-15,1,0,NA,"MRW"
"171",2020-02-15,2,0,NA,"MRW"
"172",2020-02-15,3,0,NA,"MRW"
"173",2020-02-15,4,0,NA,"MRW"
"174",2020-02-15,5,0,NA,"MRW"
"175",2020-02-15,6,0,NA,"MRW"
"176",2020-02-15,7,0,NA,"MRW"
"177",2020-02-15,8,0,NA,"MRW"
"178",2020-02-15,9,0,NA,"MRW"
"179",2020-02-15,10,0,NA,"MRW"
"180",2020-02-15,11,0,NA,"MRW"
"181",2020-02-15,12,0,NA,"MRW"
"182",2020-02-15,13,0,NA,"MRW"
"183",2020-02-15,14,0,NA,"MRW"
"184",2020-02-15,15,0,NA,"MRW"
"185",2020-02-15,16,0,NA,"MRW"
"186",2020-02-15,17,0,NA,"MRW"
"187",2020-02-15,18,0,NA,"MRW"
"188",2020-02-15,19,0,NA,"MRW"
"189",2020-02-15,20,0,NA,"MRW"
"190",2020-02-15,21,0,NA,"MRW"
"191",2020-02-15,22,0,NA,"MRW"
"192",2020-02-15,23,0,NA,"MRW"
"193",2020-02-16,0,0,NA,"MRW"
"194",2020-02-16,1,0,NA,"MRW"
"195",2020-02-16,2,0,NA,"MRW"
"196",2020-02-16,3,0,NA,"MRW"
"197",2020-02-16,4,0,NA,"MRW"
"198",2020-02-16,5,0,NA,"MRW"
"199",2020-02-16,6,0,NA,"MRW"
"200",2020-02-16,7,0,NA,"MRW"
"201",2020-02-16,8,0,NA,"MRW"
"202",2020-02-16,9,0,NA,"MRW"
"203",2020-02-16,10,0,NA,"MRW"
"204",2020-02-16,11,0,NA,"MRW"
"205",2020-02-16,12,0,NA,"MRW"
"206",2020-02-16,13,0,NA,"MRW"
"207",2020-02-16,14,0,NA,"MRW"
"208",2020-02-16,15,0,NA,"MRW"
"209",2020-02-16,16,0,NA,"MRW"
"210",2020-02-16,17,0,NA,"MRW"
"211",2020-02-16,18,0,NA,"MRW"
"212",2020-02-16,19,0,NA,"MRW"
"213",2020-02-16,20,0,NA,"MRW"
"214",2020-02-16,21,0,NA,"MRW"
"215",2020-02-16,22,0,NA,"MRW"
"216",2020-02-16,23,0,NA,"MRW"
"217",2020-02-17,0,0,NA,"MRW"
"218",2020-02-17,1,0,NA,"MRW"
"219",2020-02-17,2,0,NA,"MRW"
"220",2020-02-17,3,0,NA,"MRW"
"221",2020-02-17,4,0,NA,"MRW"
"222",2020-02-17,5,0,NA,"MRW"
"223",2020-02-17,6,0,NA,"MRW"
"224",2020-02-17,7,0,NA,"MRW"
"225",2020-02-17,8,0,NA,"MRW"
"226",2020-02-17,9,0,NA,"MRW"
"227",2020-02-17,10,0,NA,"MRW"
"228",2020-02-17,11,0,NA,"MRW"
"229",2020-02-17,12,0,NA,"MRW"
"230",2020-02-17,13,0,NA,"MRW"
"231",2020-02-17,14,0,NA,"MRW"
"232",2020-02-17,15,0,NA,"MRW"
"233",2020-02-17,16,0,NA,"MRW"
"234",2020-02-17,17,0,NA,"MRW"
"235",2020-02-17,18,0,NA,"MRW"
"236",2020-02-17,19,0,NA,"MRW"
"237",2020-02-17,20,0,NA,"MRW"
"238",2020-02-17,21,0,NA,"MRW"
"239",2020-02-17,22,0,NA,"MRW"
"240",2020-02-17,23,0,NA,"MRW"
"241",2020-02-18,0,0,NA,"MRW"
"242",2020-02-18,1,0,NA,"MRW"
"243",2020-02-18,2,0,NA,"MRW"
"244",2020-02-18,3,0,NA,"MRW"
"245",2020-02-18,4,0,NA,"MRW"
"246",2020-02-18,5,0,NA,"MRW"
"247",2020-02-18,6,0,NA,"MRW"
"248",2020-02-18,7,0,NA,"MRW"
"249",2020-02-18,8,0,NA,"MRW"
"250",2020-02-18,9,0,NA,"MRW"
"251",2020-02-18,10,0,NA,"MRW"
