"","Begin_Date","Begin_Hour","Maneuver","Transit","UK","Notes","SiteID"
"58",2019-06-13,9,0,2,0,NA,"EP"
"59",2019-06-13,10,0,0,NA,NA,"EP"
"60",2019-06-13,11,0,0,NA,NA,"EP"
"61",2019-06-13,12,0,0,NA,NA,"EP"
"62",2019-06-13,13,0,1,0,NA,"EP"
"63",2019-06-13,14,0,0,NA,NA,"EP"
"64",2019-06-13,15,0,0,NA,NA,"EP"
"65",2019-06-13,16,0,0,NA,NA,"EP"
"66",2019-06-13,17,1,0,0,NA,"EP"
"67",2019-06-13,18,2,0,0,NA,"EP"
"68",2019-06-13,19,5,0,0,"; ; ; ; can hear engine turning over at beginning","EP"
"69",2019-06-13,20,6,0,0,"; ; ; ; ; ","EP"
"70",2019-06-13,21,5,0,1,"; ; ; ; fish finder?; ","EP"
"71",2019-06-13,22,0,1,0,NA,"EP"
"72",2019-06-13,23,0,0,NA,NA,"EP"
"73",2019-06-14,0,0,0,NA,NA,"EP"
"74",2019-06-14,1,0,1,0,NA,"EP"
"75",2019-06-14,2,0,0,NA,NA,"EP"
"76",2019-06-14,3,0,0,NA,NA,"EP"
"77",2019-06-14,4,0,0,NA,NA,"EP"
"78",2019-06-14,5,0,0,NA,NA,"EP"
"79",2019-06-14,6,0,0,NA,NA,"EP"
"80",2019-06-14,7,0,0,NA,NA,"EP"
"81",2019-06-14,8,0,0,NA,NA,"EP"
"82",2019-06-14,9,0,0,NA,NA,"EP"
"83",2019-06-14,10,0,0,NA,NA,"EP"
"84",2019-06-14,11,0,0,NA,NA,"EP"
"85",2019-06-14,12,0,2,0,NA,"EP"
"86",2019-06-14,13,0,0,NA,NA,"EP"
"87",2019-06-14,14,0,0,NA,NA,"EP"
"88",2019-06-14,15,0,0,NA,NA,"EP"
"89",2019-06-14,16,0,0,NA,NA,"EP"
"90",2019-06-14,17,0,0,NA,NA,"EP"
"91",2019-06-14,18,0,0,NA,NA,"EP"
"92",2019-06-14,19,0,0,NA,NA,"EP"
"93",2019-06-14,20,0,0,NA,NA,"EP"
"94",2019-06-14,21,0,0,NA,NA,"EP"
"95",2019-06-14,22,0,0,NA,NA,"EP"
"96",2019-06-14,23,0,0,NA,NA,"EP"
"97",2019-06-15,0,0,0,NA,NA,"EP"
"98",2019-06-15,1,0,0,NA,NA,"EP"
"99",2019-06-15,2,0,0,NA,NA,"EP"
"100",2019-06-15,3,0,0,NA,NA,"EP"
"101",2019-06-15,4,0,0,NA,NA,"EP"
"102",2019-06-15,5,0,0,NA,NA,"EP"
"103",2019-06-15,6,0,2,0,NA,"EP"
"104",2019-06-15,7,1,0,0,NA,"EP"
"105",2019-06-15,8,2,0,0,NA,"EP"
"106",2019-06-15,9,1,2,0,NA,"EP"
"107",2019-06-15,10,1,2,0,NA,"EP"
"108",2019-06-15,11,0,1,0,NA,"EP"
"109",2019-06-15,12,0,0,NA,NA,"EP"
"110",2019-06-15,13,4,0,0,NA,"EP"
"111",2019-06-15,14,3,0,0,NA,"EP"
"112",2019-06-15,15,0,0,NA,NA,"EP"
"113",2019-06-15,16,0,0,NA,NA,"EP"
"114",2019-06-15,17,0,1,0,NA,"EP"
"115",2019-06-15,18,0,0,NA,NA,"EP"
"116",2019-06-15,19,0,0,NA,NA,"EP"
"117",2019-06-15,20,0,0,NA,NA,"EP"
"118",2019-06-15,21,0,0,NA,NA,"EP"
"119",2019-06-15,22,0,0,NA,NA,"EP"
"120",2019-06-15,23,0,0,NA,NA,"EP"
"121",2019-06-16,0,0,0,NA,NA,"EP"
"122",2019-06-16,1,0,1,0,NA,"EP"
"123",2019-06-16,2,0,0,NA,NA,"EP"
"124",2019-06-16,3,0,0,NA,NA,"EP"
"125",2019-06-16,4,0,1,0,NA,"EP"
"126",2019-06-16,5,0,0,NA,NA,"EP"
"127",2019-06-16,6,0,0,NA,NA,"EP"
"128",2019-06-16,7,0,1,0,NA,"EP"
"129",2019-06-16,8,0,2,0,NA,"EP"
"130",2019-06-16,9,0,0,NA,NA,"EP"
"131",2019-06-16,10,0,0,NA,NA,"EP"
"132",2019-06-16,11,0,0,NA,NA,"EP"
"133",2019-06-16,12,0,0,NA,NA,"EP"
"134",2019-06-16,13,0,0,NA,NA,"EP"
"135",2019-06-16,14,0,0,NA,NA,"EP"
"136",2019-06-16,15,0,0,NA,NA,"EP"
"137",2019-06-16,16,0,0,NA,NA,"EP"
"138",2019-06-16,17,0,0,NA,NA,"EP"
"139",2019-06-16,18,0,0,NA,NA,"EP"
"140",2019-06-16,19,0,0,NA,NA,"EP"
"141",2019-06-16,20,0,0,NA,NA,"EP"
"142",2019-06-16,21,0,0,NA,NA,"EP"
"143",2019-06-16,22,0,0,NA,NA,"EP"
"144",2019-06-16,23,0,0,NA,NA,"EP"
"145",2019-06-17,0,0,0,NA,NA,"EP"
"146",2019-06-17,1,0,0,NA,NA,"EP"
"147",2019-06-17,2,0,0,NA,NA,"EP"
"148",2019-06-17,3,0,0,NA,NA,"EP"
"149",2019-06-17,4,0,0,NA,NA,"EP"
"150",2019-06-17,5,0,0,NA,NA,"EP"
"151",2019-06-17,6,0,0,NA,NA,"EP"
"152",2019-06-17,7,0,0,NA,NA,"EP"
"153",2019-06-17,8,0,0,NA,NA,"EP"
"154",2019-06-17,9,0,0,NA,NA,"EP"
"155",2019-06-17,10,0,0,NA,NA,"EP"
"156",2019-06-17,11,0,0,NA,NA,"EP"
"157",2019-06-17,12,0,0,NA,NA,"EP"
"158",2019-06-17,13,0,0,NA,NA,"EP"
"159",2019-06-17,14,0,0,NA,NA,"EP"
"160",2019-06-17,15,0,0,NA,NA,"EP"
"161",2019-06-17,16,0,0,NA,NA,"EP"
"162",2019-06-17,17,0,0,NA,NA,"EP"
"163",2019-06-17,18,0,0,NA,NA,"EP"
"164",2019-06-17,19,0,0,NA,NA,"EP"
"165",2019-06-17,20,0,0,NA,NA,"EP"
