"","Filename","Date","Selection","used","pins_sm","pins_med","pins_lg","pins_ovrll","Dep_ID"
"44","805355546.180727024048_sel05_S3.wav","180727000000","S3",1,1,0.135802469135802,NA,0.554140127388535,"CGMP_201807_CG"
"45","805355546.180727024048_sel26_S34.wav","180727000000","S34",1,0.826530612244898,0,NA,0.536423841059603,"CGMP_201807_CG"
"46","805355546.180727024048_sel39_S35.wav","180727000000","S35",1,0.954545454545455,0,NA,0.545454545454545,"CGMP_201807_CG"
"47","805355546.180727024048_sel42_S36.wav","180727000000","S36",1,0.891304347826087,0,NA,0.539473684210526,"CGMP_201807_CG"
"48","805355546.180727024048_sel47_S38.wav","180727000000","S38",1,1,0.176470588235294,NA,0.556962025316456,"CGMP_201807_CG"
"49","805355546.180727024048_sel57_S39.wav","180727000000","S39",1,1,0.339622641509434,NA,0.567901234567901,"CGMP_201807_CG"
"50","805355546.180731024008_sel04_S26.wav","180731000000","S26",1,0.620689655172414,0,NA,0.507042253521127,"CGMP_201807_CG"
"51","805355546.180731024008_sel09_S27.wav","180731000000","S27",1,0.666666666666667,0,NA,0.513888888888889,"CGMP_201807_CG"
"52","805355546.180731024008_sel14_S29.wav","180731000000","S29",1,0.536,0,NA,0.489051094890511,"CGMP_201807_CG"
"53","805355546.180802023946_sel08_S16.wav","180802000000","S16",1,0.675675675675676,0,NA,0.517241379310345,"CGMP_201807_CG"
"54","805355546.180802023946_sel13_S22.wav","180802000000","S22",1,1,0.351851851851852,NA,0.567901234567901,"CGMP_201807_CG"
"55","805355546.180802023946_sel16_S27.wav","180802000000","S27",1,1,0.684210526315789,0,0.76,"CGMP_201807_CG"
"56","805355546.180705024418_sel02_S11.wav","180705000000","S11",1,1,1,1,1,"CGMP_201807_CG"
"57","805355546.180707024358_sel18_S10.wav","180707000000","S10",1,1,1,0.711538461538462,1,"CGMP_201807_CG"
"58","805355546.180707024358_sel12_S2.wav","180707000000","S2",1,1,1,1,1,"CGMP_201807_CG"
"59","805355546.180707024358_sel16_S9.wav","180707000000","S9",1,1,1,1,1,"CGMP_201807_CG"
"60","805355546.180711024316_sel06_S28.wav","180711000000","S28",1,1,1,0.730769230769231,1,"CGMP_201807_CG"
"61","805355546.180713024252_sel03_S3.wav","180713000000","S3",1,1,1,1,1,"CGMP_201807_CG"
"62","805355546.180715024234_sel04_S15.wav","180715000000","S15",1,1,0.949367088607595,0,0.96,"CGMP_201807_CG"
"63","805355546.180715024234_sel14_S31.wav","180715000000","S31",1,1,1,0.015625,1,"CGMP_201807_CG"
"64","805355546.180717024218_sel02_S13.wav","180717000000","S13",1,1,0.25531914893617,NA,0.5625,"CGMP_201807_CG"
"65","805355546.180717024218_sel04_S30.wav","180717000000","S30",1,1,0.869047619047619,0,0.897196261682243,"CGMP_201807_CG"
"66","805355546.180721024142_sel16_S2.wav","180721000000","S2",1,1,1,1,1,"CGMP_201807_CG"
"67","805355546.180731024008_sel02_S25.wav","180731000000","S25",1,0.835051546391753,0,NA,0.536423841059603,"CGMP_201807_CG"
"68","805355546.180802023946_sel02_S26.wav","180802000000","S26",1,1,1,0.84,1,"CGMP_201807_CG"
"69","805355546.180703024438_sel03_S2.wav","180703000000","S2",1,0.954545454545455,0,NA,0.545454545454545,"CGMP_201807_CG"
"70","805355546.180703024438_sel07_S3.wav","180703000000","S3",1,1,0.0140845070422535,NA,0.548387096774194,"CGMP_201807_CG"
"71","805355546.180705024418_sel26_S12.wav","180705000000","S12",1,1,0.239130434782609,NA,0.559748427672956,"CGMP_201807_CG"
"72","805355546.180705024418_sel08_S2.wav","180705000000","S2",1,1,0.313725490196078,NA,0.565217391304348,"CGMP_201807_CG"
"73","805355546.180705024418_sel16_S4.wav","180705000000","S4",1,1,0.263157894736842,NA,0.5625,"CGMP_201807_CG"
"74","805355546.180707024358_sel12_S1.wav","180707000000","S1",1,1,0.306930693069307,NA,0.565217391304348,"CGMP_201807_CG"
"75","805355546.180707024358_sel24_S11.wav","180707000000","S11",1,1,0.213483146067416,NA,0.559748427672956,"CGMP_201807_CG"
"76","805355546.180707024358_sel19_S7.wav","180707000000","S7",1,1,0.25531914893617,NA,0.5625,"CGMP_201807_CG"
