"","Begin_Date","Begin_Hour","Transit","Notes","SiteID"
"138",2020-02-13,17,0,NA,"MRE"
"139",2020-02-13,18,0,NA,"MRE"
"140",2020-02-13,19,0,NA,"MRE"
"141",2020-02-13,20,0,NA,"MRE"
"142",2020-02-13,21,0,NA,"MRE"
"143",2020-02-13,22,0,NA,"MRE"
"144",2020-02-13,23,0,NA,"MRE"
"145",2020-02-14,0,0,NA,"MRE"
"146",2020-02-14,1,0,NA,"MRE"
"147",2020-02-14,2,0,NA,"MRE"
"148",2020-02-14,3,0,NA,"MRE"
"149",2020-02-14,4,0,NA,"MRE"
"150",2020-02-14,5,0,NA,"MRE"
"151",2020-02-14,6,0,NA,"MRE"
"152",2020-02-14,7,0,NA,"MRE"
"153",2020-02-14,8,0,NA,"MRE"
"154",2020-02-14,9,0,NA,"MRE"
"155",2020-02-14,10,0,NA,"MRE"
"156",2020-02-14,11,0,NA,"MRE"
"157",2020-02-14,12,0,NA,"MRE"
"158",2020-02-14,13,0,NA,"MRE"
"159",2020-02-14,14,0,NA,"MRE"
"160",2020-02-14,15,0,NA,"MRE"
"161",2020-02-14,16,0,NA,"MRE"
"162",2020-02-14,17,0,NA,"MRE"
"163",2020-02-14,18,0,NA,"MRE"
"164",2020-02-14,19,0,NA,"MRE"
"165",2020-02-14,20,0,NA,"MRE"
"166",2020-02-14,21,0,NA,"MRE"
"167",2020-02-14,22,0,NA,"MRE"
"168",2020-02-14,23,0,NA,"MRE"
"169",2020-02-15,0,0,NA,"MRE"
"170",2020-02-15,1,0,NA,"MRE"
"171",2020-02-15,2,0,NA,"MRE"
"172",2020-02-15,3,0,NA,"MRE"
"173",2020-02-15,4,0,NA,"MRE"
"174",2020-02-15,5,0,NA,"MRE"
"175",2020-02-15,6,0,NA,"MRE"
"176",2020-02-15,7,0,NA,"MRE"
"177",2020-02-15,8,0,NA,"MRE"
"178",2020-02-15,9,0,NA,"MRE"
"179",2020-02-15,10,0,NA,"MRE"
