"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
2 "Spectrogram 1" 1 36080.561141986 36130.489193762 1005.9 1656.8 "2018/8/12" "12:00:55.5611" "12:01:45.4892" 49.9281 "DTransit" NA 2018-08-12
1 "Spectrogram 1" 1 28267.208626199 28418.863284905 1124.3 2189.3 "2018/8/13" "9:50:33.2086" "9:53:04.8633" 151.6547 "DTransit" NA 2018-08-13
1 "Spectrogram 1" 1 23723.381286471 23874.589920813 769.2 2455.6 "2018/8/14" "8:26:42.3813" "8:29:14.5899" 151.2086 "DTransit" "" 2018-08-14
2 "Spectrogram 1" 1 26023.467613692 26142.877690564 769.2 6301.8 "2018/8/14" "9:05:02.4676" "9:07:02.8777" 119.4101 "Maneuver+TransitA" "" 2018-08-14
3 "Spectrogram 1" 1 26982.94962953 27283.496394834 147.9 7011.8 "2018/8/14" "9:21:02.9496" "9:26:02.4964" 300.5468 "CTransit" "on/off" 2018-08-14
4 "Spectrogram 1" 1 27643.755381678 28330.233871761 147.9 4911.2 "2018/8/14" "9:32:03.7554" "9:43:29.2339" 686.4785 "CTransit" "" 2018-08-14
5 "Spectrogram 1" 1 28402.676250899 28459.36689182 118.3 8372.8 "2018/8/14" "9:44:42.6763" "9:45:38.3669" 56.6906 "CTransit" "" 2018-08-14
6 "Spectrogram 1" 1 29634.697583714 29796.303404425 177.5 1716 "2018/8/14" "10:05:14.6976" "10:07:55.3034" 161.6058 "DTransit" "" 2018-08-14
7 "Spectrogram 1" 1 29959.028764938 30010.827320094 1242.6 1863.9 "2018/8/14" "10:10:38.0288" "10:11:30.8273" 51.7986 "DTransit" "" 2018-08-14
8 "Spectrogram 1" 1 30161.762579886 30207.374085398 177.5 5000 "2018/8/14" "10:14:01.7626" "10:14:46.3741" 45.6115 "CTransit" "" 2018-08-14
9 "Spectrogram 1" 1 30362.035956751 30519.431640737 798.8 3787 "2018/8/14" "10:17:21.0360" "10:19:58.4316" 157.3957 "Maneuver+TransitA" "M" 2018-08-14
10 "Spectrogram 1" 1 32777.791354083 33008.122300177 1005.9 4615.4 "2018/8/14" "10:57:37.7914" "11:01:27.1223" 230.3309 "DTransit" "" 2018-08-14
11 "Spectrogram 1" 1 33308.683435218 33481.906455502 650.9 9437.9 "2018/8/14" "11:06:28.6834" "11:09:21.9065" 173.223 "CPA" "" 2018-08-14
