Site_ID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
EP,6/17/2019,Monday,12,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,13,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,14,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,15,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,16,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,17,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,18,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,19,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,20,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,21,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,22,,,,,,0,0,0,0,0,0,
EP,6/17/2019,Monday,23,,,,,,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,4,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,5,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,6,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,7,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,8,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,9,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,10,0,0,0,0,1,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,11,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,15,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,16,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,22,0,0,0,0,0,0,0,0,0,0,0,
EP,6/18/2019,Tuesday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,4,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,5,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,6,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,7,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,8,0,0,1,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,9,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,10,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,11,0,0,0,0,1,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,15,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,16,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,22,0,0,0,0,0,0,0,0,0,0,0,
EP,6/19/2019,Wednesday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,4,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,5,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,6,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,7,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,8,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,9,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,10,0,0,1,0,0,0,0,0,0,0,0,
