SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
Cod Grounds,4/20/2019,Saturday,15,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/20/2019,Saturday,16,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/20/2019,Saturday,17,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/20/2019,Saturday,18,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/20/2019,Saturday,19,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/20/2019,Saturday,20,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/20/2019,Saturday,21,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/20/2019,Saturday,22,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/20/2019,Saturday,23,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/21/2019,Sunday,2,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,3,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/21/2019,Sunday,4,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/21/2019,Sunday,5,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/21/2019,Sunday,6,0,0,0,0,2,1,0,0,0,0,0,1,," LF p, loud"
Cod Grounds,4/21/2019,Sunday,7,0,0,0,0,1,1,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,8,0,0,1,1,0,1,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,9,0,0,0,0,1,1,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,10,0,0,0,0,0,0,0,0,0,0,0,1,, maybe dolphin? or fish p
Cod Grounds,4/21/2019,Sunday,11,0,0,0,0,1,1,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,12,0,0,1,0,0,1,0,0,0,0,0,1,,
Cod Grounds,4/21/2019,Sunday,13,0,0,0,0,0,0,0,0,0,0,0,1,, possible RW??;  possible RW?;  fish? dolphins?
Cod Grounds,4/21/2019,Sunday,14,0,0,0,0,0,0,0,0,0,0,0,1,, LF p;  fish?
Cod Grounds,4/21/2019,Sunday,15,0,0,0,0,0,0,0,0,0,1,0,1,,dolphin other squeaky
Cod Grounds,4/21/2019,Sunday,16,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/21/2019,Sunday,17,0,0,0,0,0,0,0,0,0,0,1,1,,
