SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
NGN,9/25/2019,Wednesday,13,0,0,0,0,1,1,0,1,0,0,0,1,"TB, ~13:20 - 15:20"," fish or bump? [probably bump or one of those weird LF pulses --JM]; mn song ? same as earlier [more consistent with Mn song than dolphins -- JM]; fish p ? clicks [fish! --JM];   ? looks similar to fish chorusing but not sure if it is. couild also be vessel with mn sounds [yes, this is a vessel -- JM]"
NGN,9/25/2019,Wednesday,14,0,0,0,0,0,0,0,1,0,0,0,1,, LF thump
NGN,9/25/2019,Wednesday,15,0,0,0,0,0,0,0,1,0,0,0,1,, loud pop [surface activity! most likely from Mn -- JM];  LF pulses [not sure what these are...pulses ~15:22:10 look like possible baleen whale? ask Gen + Tim --JM]
NGN,9/25/2019,Wednesday,16,0,0,0,0,0,0,0,1,0,0,0,1,, I assume this is also mn but it sounds like little cricket chirps and I haven't heard it yet
NGN,9/25/2019,Wednesday,17,0,0,0,0,0,0,0,1,0,0,0,1,," LF pulses [sim to downsweeps in 10:00 hour, likely baleen whale! -- JM]; mn song [mn song, not fish -- JM]"
NGN,9/25/2019,Wednesday,18,0,0,0,0,0,0,0,1,0,0,0,1,,"mn song [mn song, not fish -- JM]"
NGN,9/25/2019,Wednesday,19,0,0,0,0,0,0,0,1,0,0,0,1,,"?  clicks [no idea, could be noise from the recorder itself or something rubbing on hydrophone --JM];  loud pop [ not sure, looks sim to uk sounds from 06:31, can ask Gen and Tim -- JM]"
NGN,9/25/2019,Wednesday,20,0,0,0,0,0,0,0,1,0,0,0,1,,"mn song maybe? [more mn! -- JM]; mn song [mn, not fish -- JM]"
NGN,9/25/2019,Wednesday,21,0,0,0,0,0,0,0,1,0,0,0,1,,"mn song [more mn -- JM];  fish? clicks (not loud enough to be dolphin?) [could be fish but not sure -- JM]; mn song [mn, not fish -- JM]"
NGN,9/25/2019,Wednesday,22,0,0,0,0,0,0,0,1,0,0,0,1,,"fish p [these are so weird!  I think you're correct, though, that they're fish -- JM]"
NGN,9/25/2019,Wednesday,23,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,0,,,,,,,0,1,0,0,0,1,, something bumping into hydrophone maybe?; fish p ?;  LF pulses
NGN,9/26/2019,Thursday,1,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,2,,,,,,,0,1,0,0,0,1,,  [more likley slaps at the surface or someething bumping the hydrophone -- JM]
NGN,9/26/2019,Thursday,3,,,,,,,0,1,0,0,0,1,,fish p ? [yep! -- JM];  LF pulse
NGN,9/26/2019,Thursday,4,,,,,,,0,1,0,0,0,1,, LF pulses;  LF pulses
NGN,9/26/2019,Thursday,5,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/26/2019,Thursday,6,,,,,,,0,1,0,1,0,1,, LF pulses
NGN,9/26/2019,Thursday,7,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,8,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,9,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,10,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,11,,,,,,,0,1,0,0,1,1,, LF pulses
NGN,9/26/2019,Thursday,12,,,,,,,0,1,0,0,1,1,,fish c [JM added]
NGN,9/26/2019,Thursday,13,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,14,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,15,,,,,,,0,1,0,0,0,1,,  *i dont see it but think I heard it [I hear something but not sure if it's fish or recorder noise... would leave out for now -- JM]
NGN,9/26/2019,Thursday,16,,,,,,,0,1,0,0,0,1,,fish p ? [yep! --JM]
NGN,9/26/2019,Thursday,17,,,,,,,0,1,0,0,0,1,,
NGN,9/26/2019,Thursday,18,,,,,,,0,1,0,0,0,1,, might be part of mn but its pretty low freq
NGN,9/26/2019,Thursday,19,,,,,,,0,1,0,0,0,1,, LF pulses [these look like possible baleen whales! they're more downsweeps than just pulses; ask Gen --JM]; fish p ?
NGN,9/26/2019,Thursday,20,,,,,,,0,1,0,0,0,1,, LF pulse
NGN,9/26/2019,Thursday,21,,,,,,,0,1,1,0,0,1,,"mn song [mn, not fish -- JM]; minke boing YES I FOUND ONE!!!! "
NGN,9/26/2019,Thursday,22,,,,,,,0,1,0,0,0,1,,fish p faint; fish p loud;  might just be something hitting the hydrophone [low rumble could also be wave or shifting around -- JM]
NGN,9/26/2019,Thursday,23,,,,,,,0,1,0,0,0,1,,"  is this a vessel? [yep, but probably very far away -- JM]"
NGN,9/27/2019,Friday,0,,,,,,,0,1,0,0,0,1,, might be baleen? ask Gen --JM added;  LF pulse
NGN,9/27/2019,Friday,1,,,,,,,0,1,0,0,0,1,, this is probably abiotic but it was loud and cool [could be a breach! -- JM];  LF pulses
NGN,9/27/2019,Friday,2,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,3,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,4,,,,,,,0,1,0,0,0,1,, LF pulses;  LF pulses
NGN,9/27/2019,Friday,5,,,,,,,0,1,0,1,0,1,, LF pulse
NGN,9/27/2019,Friday,6,,,,,,,0,1,0,0,0,1,, LF pulses; fish p clicks;  ? VERY high frequency pop
NGN,9/27/2019,Friday,7,,,,,,,0,1,0,1,0,1,, LF pulses; ? ? high beeps; ? ? fish or funny mn social sound;  louder LF pulses
NGN,9/27/2019,Friday,8,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,9,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,10,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,11,,,,,,,0,1,0,0,1,1,,
NGN,9/27/2019,Friday,12,,,,,,,0,1,0,0,1,1,, LF pulses
NGN,9/27/2019,Friday,13,,,,,,,0,1,0,0,0,1,,
NGN,9/27/2019,Friday,14,,,,,,,0,1,0,0,0,1,,
NGN,9/27/2019,Friday,15,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,16,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,17,,,,,,,0,1,0,1,0,1,, LF pulses
