SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes2
DNE,9/9/2020,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,2,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,3,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,4,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,5,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,6,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,7,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,8,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,9,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,10,0,0,0,0,0,0,0,0,0,0,0,1,
DNE,9/9/2020,Wednesday,11,0,1,0,0,0,1,0,1,0,0,0,1,"uk uk mechanical?, fish?; uk uk boat motor"
DNE,9/9/2020,Wednesday,12,0,0,0,1,0,1,0,1,0,0,0,1,uk uk low clicks mn?; uk uk rusty metal; uk uk boat motor
DNE,9/9/2020,Wednesday,13,0,0,0,0,0,0,0,1,0,0,0,1,fish uk low clicks mn?
DNE,9/9/2020,Wednesday,14,0,0,0,0,1,1,0,1,0,0,0,1,fish uk low clicks mn?
DNE,9/9/2020,Wednesday,15,0,0,0,0,0,0,0,1,0,0,0,1,fish uk low clicks mn?; uk uk metal tapping; uk uk scraping/tapping
DNE,9/9/2020,Wednesday,16,0,0,0,0,0,0,0,1,0,0,0,1,fish uk low clicks mn?; uk uk machine whirring; uk uk metal tapping
DNE,9/9/2020,Wednesday,17,0,0,0,0,0,0,0,1,0,0,0,1,fish uk low clicks mn?; uk uk low rattling
DNE,9/9/2020,Wednesday,18,0,0,0,0,0,0,0,1,0,0,0,1,uk uk low rattling; uk uk metal clanging
DNE,9/9/2020,Wednesday,19,0,0,0,0,0,0,0,1,0,0,0,1,uk uk lr
DNE,9/9/2020,Wednesday,20,0,0,0,0,0,0,0,1,0,0,0,1,uk uk lr; uk uk squeak prob mn
DNE,9/9/2020,Wednesday,21,0,0,0,0,0,0,0,1,0,0,1,1,uk uk chirp prob mn
DNE,9/9/2020,Wednesday,22,0,0,0,0,0,0,0,1,0,0,1,1,
DNE,9/9/2020,Wednesday,23,0,0,0,0,0,0,0,1,0,0,0,1,uk uk creak
DNE,9/10/2020,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,1,uk uk lr
DNE,9/10/2020,Thursday,1,0,0,0,0,0,0,0,1,0,0,0,1,uk uk lr
DNE,9/10/2020,Thursday,2,0,0,0,0,0,0,0,1,0,0,0,1,
