SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
MRE,2/12/2020,Wednesday,0,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,1,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,2,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,3,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,4,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,5,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,6,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,7,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,8,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,9,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,10,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,11,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,12,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,13,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,14,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,15,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,16,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,17,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,18,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,19,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,20,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,21,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,22,,,,,,0,0,0,0,0,0,
MRE,2/12/2020,Wednesday,23,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,0,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,1,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,2,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,3,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,4,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,5,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,6,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,7,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,8,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,9,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,10,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,11,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,12,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,13,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,14,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,15,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,16,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,17,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,18,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,19,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,20,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,21,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,22,,,,,,0,0,0,0,0,0,
MRE,2/13/2020,Thursday,23,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,0,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,1,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,2,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,3,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,4,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,5,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,6,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,7,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,8,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,9,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,10,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,11,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,12,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,13,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,14,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,15,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,16,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,17,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,18,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,19,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,20,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,21,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,22,,,,,,0,0,0,0,0,0,
MRE,2/14/2020,Friday,23,,,,,,0,0,0,0,0,0,
MRE,2/15/2020,Saturday,0,,,,,,0,0,0,0,0,0,
MRE,2/15/2020,Saturday,1,,,,,,0,0,0,0,0,0,
