"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes"
"125",2021-05-15,4,0,1,1,"Added on review; Added on review"
"126",2021-05-15,5,0,NA,0,NA
"127",2021-05-15,6,0,NA,0,NA
"128",2021-05-15,7,0,NA,0,NA
"129",2021-05-15,8,0,NA,0,NA
"130",2021-05-15,9,0,NA,0,NA
"131",2021-05-15,10,0,NA,0,NA
"132",2021-05-15,11,0,NA,0,NA
"133",2021-05-15,12,0,NA,0,NA
"134",2021-05-15,13,0,NA,0,NA
"135",2021-05-15,14,0,NA,0,NA
"136",2021-05-15,15,0,NA,0,NA
"137",2021-05-15,16,0,NA,0,NA
"138",2021-05-15,17,0,NA,0,NA
"139",2021-05-15,18,0,NA,0,NA
"140",2021-05-15,19,0,NA,0,NA
"141",2021-05-15,20,0,NA,0,NA
"142",2021-05-15,21,0,NA,0,NA
"143",2021-05-15,22,0,NA,0,NA
"144",2021-05-15,23,0,NA,0,NA
"145",2021-05-16,0,0,NA,0,NA
"146",2021-05-16,1,0,NA,0,NA
"147",2021-05-16,2,0,2,0,NA
"148",2021-05-16,3,0,NA,0,NA
"149",2021-05-16,4,0,1,0,NA
"150",2021-05-16,5,0,NA,0,NA
"151",2021-05-16,6,1,0,0,NA
"152",2021-05-16,7,1,0,0,NA
"153",2021-05-16,8,0,NA,0,NA
"154",2021-05-16,9,0,NA,0,NA
"155",2021-05-16,10,0,NA,0,NA
"156",2021-05-16,11,0,NA,0,NA
"157",2021-05-16,12,0,NA,0,NA
"158",2021-05-16,13,0,NA,0,NA
"159",2021-05-16,14,0,NA,0,NA
"160",2021-05-16,15,0,NA,0,NA
"161",2021-05-16,16,0,NA,0,NA
"162",2021-05-16,17,0,NA,0,NA
"163",2021-05-16,18,0,NA,0,NA
"164",2021-05-16,19,0,1,0,NA
"165",2021-05-16,20,0,NA,0,NA
"166",2021-05-16,21,0,NA,0,NA
"167",2021-05-16,22,0,NA,0,NA
"168",2021-05-16,23,0,NA,0,NA
"169",2021-05-17,0,0,NA,0,NA
"170",2021-05-17,1,0,NA,0,NA
"171",2021-05-17,2,0,NA,0,NA
"172",2021-05-17,3,0,1,0,NA
"173",2021-05-17,4,0,NA,0,NA
"174",2021-05-17,5,0,NA,0,NA
"175",2021-05-17,6,0,1,0,NA
"176",2021-05-17,7,0,NA,0,NA
"177",2021-05-17,8,0,1,0,NA
"178",2021-05-17,9,0,NA,0,NA
"179",2021-05-17,10,0,NA,0,NA
"180",2021-05-17,11,0,NA,0,NA
"181",2021-05-17,12,0,NA,0,NA
"182",2021-05-17,13,0,NA,0,NA
"183",2021-05-17,14,0,NA,0,NA
"184",2021-05-17,15,0,NA,0,NA
"185",2021-05-17,16,0,NA,0,NA
"186",2021-05-17,17,0,NA,0,NA
"187",2021-05-17,18,0,NA,0,NA
"188",2021-05-17,19,0,NA,0,NA
"189",2021-05-17,20,0,1,0,NA
"190",2021-05-17,21,0,NA,0,NA
"191",2021-05-17,22,0,1,0,"added on review"
"192",2021-05-17,23,1,1,1,"; added on review; added on review"
"193",2021-05-18,0,0,1,1,"; added on review"
"194",2021-05-18,1,1,0,0,NA
"195",2021-05-18,2,0,1,0,"added on review"
"196",2021-05-18,3,0,1,0,NA
"197",2021-05-18,4,0,2,0,"added on review, sound clip; added on review"
"198",2021-05-18,5,2,3,0,"; added on review, sound clip; ; added on review; added on review"
"199",2021-05-18,6,0,NA,0,NA
"200",2021-05-18,7,0,NA,0,NA
"201",2021-05-18,8,0,0,1,NA
