Site,Behavior,Filename,Date,Start_Time,End_Time,Delta_Time_s,Weekday
SIMP,CPAM,805568538.190613004652_sel02_S3.wav,6/13/2019,18:56:58,18:59:50,173.537,Thursday
SIMP,TAM,,6/13/2019,19:04:57,19:07:01,123.44,Thursday
SIMP,TAM,805830683.190613044415_sel12_S12.wav,6/13/2019,19:21:23,19:24:35,191.8903,Thursday
SIMP,TAM,805830683.190613044415_sel16_S13.wav,6/13/2019,19:35:13,19:37:43,150.0176,Thursday
SIMP,CPAM,,6/13/2019,19:45:53,19:49:13,199.5274,Thursday
SIMP,TAM,,6/13/2019,19:52:49,19:54:02,73.00,Thursday
SIMP,CPAM,,6/13/2019,20:02:36,20:05:34,177.732,Thursday
SIMP,TAM,,6/13/2019,20:11:51,20:13:55,124.278,Thursday
SIMP,TAM,805830683.190613044415_sel33_S18.wav,6/13/2019,20:22:32,20:25:06,153.1382,Thursday
SIMP,TAM,805830683.190613044415_sel37_S19.wav,6/13/2019,20:31:51,20:38:11,380.5903,Thursday
SIMP,TAM,,6/13/2019,20:47:23,20:49:07,103.39,Thursday
SIMP,TAM,,6/13/2019,20:56:38,20:59:29,170.882,Thursday
SIMP,TAM,805568538.190613004652_sel12_S11.wav,6/13/2019,21:05:25,21:06:54,88.3758,Thursday
SIMP,TAM,805830683.190613044415_sel45_S23.wav,6/13/2019,21:18:14,21:20:42,147.5171,Thursday
SIMP,TAM,805830683.190613044415_sel48_S24.wav,6/13/2019,21:28:51,21:33:54,303.7372,Thursday
SIMP,CPAM,805830683.190613044415_sel03_S25.wav,6/13/2019,21:40:39,21:42:03,83.257,Thursday
SIMP,TAM,,6/13/2019,21:46:27,21:47:47,81.3192,Thursday
SIMP,TAM,805568538.190615004652_sel07_S7.wav,6/15/2019,13:11:14,13:16:18,304.0622,Saturday
SIMP,TAM,805830683.190615044358_sel21_S14.wav,6/15/2019,13:32:38,13:33:57,79.6727,Saturday
SIMP,TAM,805830683.190615044358_sel23_S15.wav,6/15/2019,13:44:04,13:45:01,57.6851,Saturday
SIMP,TAM,805568538.190615004652_sel10_S10.wav,6/15/2019,14:09:57,14:10:32,33.1549,Saturday
SIMP,TA,805568538.190615004652_sel04_S13.wav,6/15/2019,17:50:26,17:50:41,14.4493,Saturday
SIMP,TAM,805568538.190709004652_sel01_S7.wav,7/9/2019,13:46:56,14:16:52,1796.0012,Tuesday
SIMP,TAM,805568538.190712004652_sel02_S3.wav,7/12/2019,9:46:55,10:04:34,1059.7262,Friday
SIMP,TAM,805568538.190712004652_sel07_S4.wav,7/12/2019,11:49:09,11:57:21,493.7287,Friday
SIMP,TAM,805568538.190713004652_sel02_S2.wav,7/13/2019,9:09:00,9:16:51,471.6627,Saturday
SIMP,TAM,805568538.190713004652_sel09_S3.wav,7/13/2019,9:46:55,10:01:36,881.9383,Saturday
SIMP,TAM,805568538.190713004652_sel13_S4.wav,7/13/2019,10:05:52,10:14:47,534.9481,Saturday
SIMP,TAM,805568538.190714004652_sel03_S1.wav,7/14/2019,5:50:06,5:54:40,273.8979,Sunday
SIMP,TAM,805568538.190714004652_sel06_S2.wav,7/14/2019,9:54:21,9:58:05,224.0535,Sunday
SIMP,TAM,805568538.190714004652_sel07_S3.wav,7/14/2019,10:10:27,10:13:18,169.9527,Sunday
SIMP,TAM,805568538.190714004652_sel09_S4.wav,7/14/2019,10:46:54,10:53:20,384.4854,Sunday
SIMP,TAM,805568538.190714004652_sel14_S6.wav,7/14/2019,11:09:46,11:14:01,255.0019,Sunday
SIMP,TAM,805568538.190714004652_sel15_S7.wav,7/14/2019,11:48:24,11:59:12,649.6073,Sunday
SIMP,TAM,805568538.190715004652_sel01_S1.wav,7/15/2019,9:46:54,10:16:00,1744.4318,Monday
SIMP,TAM,805568538.190715004652_sel05_S2.wav,7/15/2019,10:46:54,10:57:54,659.1338,Monday
SIMP,CPAM,805568538.190716004652_sel01_S2.wav,7/16/2019,13:51:27,13:56:20,292.9396,Tuesday
SIMP,TAM,805568538.190716004652_sel03_S3.wav,7/16/2019,13:57:58,14:08:17,617.2979,Tuesday
SIMP,TAM,805568538.190717004652_sel01_S1.wav,7/17/2019,10:10:17,10:13:52,215.2047,Wednesday
SIMP,TAM,805568538.190717004652_sel07_S2.wav,7/17/2019,11:16:03,11:16:51,49.2844,Wednesday
SIMP,TA,805568538.190718004652_sel08_S2.wav,7/18/2019,8:55:34,9:03:25,471.0691,Thursday
SIMP,CPAM,805568538.190720004652_sel01_S3.wav,7/20/2019,9:46:56,10:16:52,1796.1342,Saturday
SIMP,TAM,805568538.190726004652_sel01_S1.wav,7/26/2019,10:53:17,11:08:10,894.4555,Friday
SIMP,TAM,805568538.190726004652_sel05_S2.wav,7/26/2019,12:52:50,12:53:48,58.0212,Friday
SIMP,CPA,805568538.190727004652_sel01_S2.wav,7/27/2019,6:59:08,7:02:54,224.6472,Saturday
SIMP,TAM,805568538.190727004652_sel05_S3.wav,7/27/2019,8:03:35,8:13:02,567.6552,Saturday
SIMP,TAM,805568538.190727004652_sel06_S4.wav,7/27/2019,8:50:25,8:52:16,109.5793,Saturday
SIMP,TAM,805568538.190727004652_sel12_S5.wav,7/27/2019,8:59:37,9:11:54,736.9359,Saturday
SIMP,CPAM,805568538.190727004652_sel03_S7.wav,7/27/2019,9:46:55,10:15:12,1696.458,Saturday
SIMP,TAM,805568538.190727004652_sel17_S10.wav,7/27/2019,11:04:49,11:14:28,579.0019,Saturday
SIMP,CPAM,805568538.190727004652_sel04_S11.wav,7/27/2019,11:58:54,12:03:33,278.412,Saturday
SIMP,CPAM,805568538.190729004652_sel01_S1.wav,7/29/2019,6:53:44,7:02:36,531.7561,Monday
SIMP,TA,805568538.190729004652_sel03_S3.wav,7/29/2019,8:13:09,8:16:51,221.8133,Monday
SIMP,TAM,805568538.190803004652_sel08_S6.wav,8/3/2019,10:13:27,10:16:52,204.3846,Saturday
SIMP,CPAM,805568538.190803004652_sel01_S7.wav,8/3/2019,10:46:54,11:09:10,1334.3074,Saturday
SIMP,CPAM,805568538.190804004652_sel01_S3.wav,8/4/2019,7:56:11,8:16:52,1240.8911,Sunday
SIMP,TAM,805568538.190806004652_sel06_S10.wav,8/6/2019,11:48:47,11:54:11,323.664,Tuesday
SIMP,TA,805568538.190807004652_sel08_S5.wav,8/7/2019,8:48:43,8:53:26,281.3242,Wednesday
SIMP,TAM,805568538.190808004652_sel01_S1.wav,8/8/2019,7:08:32,7:16:52,500.0012,Thursday
SIMP,CPA,805568538.190808004652_sel01_S2.wav,8/8/2019,8:46:54,8:54:27,452.0274,Thursday
SIMP,TAM,805568538.190808004652_sel06_S3.wav,8/8/2019,9:46:56,9:52:54,358.163,Thursday
