network,npz_id,Site_ID,Dep,Weekday,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,DMP,DNE,DAMPIER_202009_DNE,F,27,0,3,0,2,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,M,13,0,2,0,0,0,2
Northwest,DMP,DNE,DAMPIER_202009_DNE,Sa,14,0,3,0,2,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,Su,13,0,1,0,0,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,R,30,0,3,0,2,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,T,18,0,2,0,1,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,W,23,0,3,0,1,0,2
Northwest,DMP,DSW,DAMPIER_202009_DSW,F,39,0,0,0,0,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,M,23,1,2,0,0,1,2
Northwest,DMP,DSW,DAMPIER_202009_DSW,Sa,26,1,1,0,0,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,Su,24,0,1,0,0,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,R,49,0,1,0,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,T,35,0,2,0,0,0,2
Northwest,DMP,DSW,DAMPIER_202009_DSW,W,42,0,2,0,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,F,8,0,0,0,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,M,3,0,0,0,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,Sa,6,0,1,0,0,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,Su,6,1,1,0,0,1,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,R,7,0,1,0,0,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,T,6,0,0,0,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,W,4,0,1,0,0,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,F,14,0,1,0,0,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,M,12,0,0,0,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,Sa,10,0,1,0,0,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,Su,11,0,4,0,1,0,3
Northwest,NMP,NGS,NINGALOO_201909_NGS,R,15,0,5,0,0,0,5
Northwest,NMP,NGS,NINGALOO_201909_NGS,T,14,0,1,0,1,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,W,10,0,1,0,0,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,F,108,0,0,0,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,M,30,0,0,0,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,Sa,161,0,0,0,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,Su,108,0,0,0,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,R,67,0,0,0,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,T,44,0,0,0,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,W,57,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,F,48,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,M,34,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,Sa,57,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,Su,29,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,R,35,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,T,46,0,0,0,0,0,0
South-west,JMP,JNE,JURIEN_202201_JNE,W,37,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,F,22,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,M,9,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,Sa,30,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,Su,18,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,R,24,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,T,12,0,0,0,0,0,0
South-west,JMP,JSE,JURIEN_202201_JSE,W,24,0,0,0,0,0,0
South-west,MMP,MRE,MURAT_202002_MRE,F,1,0,0,0,0,0,0
South-west,MMP,MRE,MURAT_202002_MRE,Sa,1,0,0,0,0,0,0
South-west,MMP,MRW,MURAT_202002_MRW,F,2,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,F,45,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,M,44,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,Sa,65,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,Su,42,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,R,57,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,T,46,0,0,0,0,0,0
South-west,SWCMP,SWS,SWC_202201_SWS,W,44,0,0,0,0,0,0
South-west,TRMP,TRE,TWOROCKS_202105_TRE,F,102,5,15,3,11,2,4
South-west,TRMP,TRE,TWOROCKS_202105_TRE,M,46,2,9,2,7,0,2
South-west,TRMP,TRE,TWOROCKS_202105_TRE,Sa,145,4,36,4,34,0,2
South-west,TRMP,TRE,TWOROCKS_202105_TRE,Su,52,6,13,5,11,1,2
South-west,TRMP,TRE,TWOROCKS_202105_TRE,R,109,5,28,5,26,0,2
South-west,TRMP,TRE,TWOROCKS_202105_TRE,T,51,2,9,1,8,1,1
South-west,TRMP,TRE,TWOROCKS_202105_TRE,W,84,3,21,3,17,0,4
South-west,TRMP,TRW,TWOROCKS_202105_TRW,F,93,2,21,1,17,1,4
South-west,TRMP,TRW,TWOROCKS_202105_TRW,M,25,1,7,1,6,0,1
South-west,TRMP,TRW,TWOROCKS_202105_TRW,Sa,131,8,48,6,42,2,6
South-west,TRMP,TRW,TWOROCKS_202105_TRW,Su,42,2,13,2,12,0,1
South-west,TRMP,TRW,TWOROCKS_202105_TRW,R,120,8,35,6,29,2,6
South-west,TRMP,TRW,TWOROCKS_202105_TRW,T,44,1,9,1,6,0,3
South-west,TRMP,TRW,TWOROCKS_202105_TRW,W,65,2,16,2,13,0,3
Temperate East,CGMP,CG,CGMP_201807_CG,F,33,2,10,1,2,1,8
Temperate East,CGMP,CG,CGMP_201807_CG,M,31,5,16,1,2,4,14
Temperate East,CGMP,CG,CGMP_201807_CG,Sa,53,8,30,4,11,4,19
Temperate East,CGMP,CG,CGMP_201807_CG,Su,50,3,21,3,6,0,15
Temperate East,CGMP,CG,CGMP_201807_CG,R,87,9,41,2,9,7,32
Temperate East,CGMP,CG,CGMP_201807_CG,T,46,1,18,0,4,1,14
Temperate East,CGMP,CG,CGMP_201807_CG,W,64,4,31,1,6,3,25
Temperate East,CGMP,CG,CGMP_201812_CG,F,43,4,16,3,6,1,10
Temperate East,CGMP,CG,CGMP_201812_CG,M,56,7,30,4,16,3,14
Temperate East,CGMP,CG,CGMP_201812_CG,Sa,63,1,18,0,4,1,14
Temperate East,CGMP,CG,CGMP_201812_CG,Su,62,7,32,5,12,2,20
Temperate East,CGMP,CG,CGMP_201812_CG,R,59,0,13,0,6,0,7
Temperate East,CGMP,CG,CGMP_201812_CG,T,57,4,20,4,11,0,9
Temperate East,CGMP,CG,CGMP_201812_CG,W,55,1,17,1,4,0,13
Temperate East,CGMP,CG,CGMP_201904_CG,F,68,7,41,4,12,3,29
Temperate East,CGMP,CG,CGMP_201904_CG,M,46,1,25,0,2,1,23
Temperate East,CGMP,CG,CGMP_201904_CG,Sa,79,6,39,5,12,1,27
Temperate East,CGMP,CG,CGMP_201904_CG,Su,65,2,33,1,8,1,25
Temperate East,CGMP,CG,CGMP_201904_CG,R,71,3,41,2,13,1,28
Temperate East,CGMP,CG,CGMP_201904_CG,T,76,7,31,4,12,3,19
Temperate East,CGMP,CG,CGMP_201904_CG,W,68,5,27,3,8,2,19
Temperate East,SIMP,EP,SIMP_201808_EP,F,35,0,4,0,3,0,1
Temperate East,SIMP,EP,SIMP_201808_EP,M,19,0,1,0,1,0,0
Temperate East,SIMP,EP,SIMP_201808_EP,Sa,52,1,7,1,6,0,1
Temperate East,SIMP,EP,SIMP_201808_EP,Su,28,0,1,0,1,0,0
Temperate East,SIMP,EP,SIMP_201808_EP,R,46,2,14,0,4,2,10
Temperate East,SIMP,EP,SIMP_201808_EP,T,28,1,5,0,2,1,3
Temperate East,SIMP,EP,SIMP_201808_EP,W,32,0,7,0,4,0,3
Temperate East,SIMP,EP,SIMP_201812_EP,F,25,1,4,1,3,0,1
Temperate East,SIMP,EP,SIMP_201812_EP,M,35,2,12,2,10,0,2
Temperate East,SIMP,EP,SIMP_201812_EP,Sa,33,0,6,0,6,0,0
Temperate East,SIMP,EP,SIMP_201812_EP,Su,25,5,8,4,7,1,1
Temperate East,SIMP,EP,SIMP_201812_EP,R,29,1,8,0,5,1,3
Temperate East,SIMP,EP,SIMP_201812_EP,T,40,0,11,0,7,0,4
Temperate East,SIMP,EP,SIMP_201812_EP,W,35,5,11,3,5,2,6
Temperate East,SIMP,EP,SIMP_201906_EP,F,13,0,1,0,0,0,1
Temperate East,SIMP,EP,SIMP_201906_EP,M,2,0,0,0,0,0,0
Temperate East,SIMP,EP,SIMP_201906_EP,Sa,25,2,10,2,9,0,1
Temperate East,SIMP,EP,SIMP_201906_EP,Su,8,0,2,0,0,0,2
Temperate East,SIMP,EP,SIMP_201906_EP,R,29,13,21,13,20,0,1
Temperate East,SIMP,EP,SIMP_201906_EP,T,5,1,1,1,1,0,0
Temperate East,SIMP,EP,SIMP_201906_EP,W,14,0,5,0,4,0,1
Temperate East,SIMP,WP,SIMP_201808_WP,F,39,1,5,1,3,0,2
Temperate East,SIMP,WP,SIMP_201808_WP,M,19,0,3,0,3,0,0
Temperate East,SIMP,WP,SIMP_201808_WP,Sa,71,0,9,0,7,0,2
