term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
npz_dep,JMP202201-GMP202201,0,-2.3092473564172007,-3.3983534400271607,-1.2201412728072405,1.084245208060608e-7
npz_dep,MMP202002-GMP202201,0,-6.294291074778992,-7.290471880866457,-5.298110268691527,5.027509519806017e-10
npz_dep,SWCMP202201-GMP202201,0,-2.2833872010342517,-3.4329610469752287,-1.133813355093275,8.053092898085978e-7
npz_dep,MMP202002-JMP202201,0,-3.9850437183617915,-4.93481213835337,-3.0352752983702134,5.027587235417741e-10
npz_dep,TRMP202105-JMP202201,0,2.7527611596870942,1.8029927396955159,3.7025295796786724,5.029165972558758e-10
npz_dep,SWCMP202201-MMP202002,0,4.0109038737447404,2.9923617697899743,5.029445977699506,5.027903648979759e-10
npz_dep,TRMP202105-MMP202002,0,6.737804878048886,5.8962086633032715,7.5794010927945,5.027509519806017e-10
npz_dep,TRMP202105-SWCMP202201,0,2.7269010043041453,1.708358900349379,3.7454431082589115,5.108353740013172e-10
npz_dep:Weekday,MMP202002:M-GMP202201:M,0,-5.447682752030609,-9.162601985651962,-1.7327635184092554,1.5581456268787264e-5
npz_dep:Weekday,MMP202002:T-GMP202201:M,0,-5.447682752030674,-9.162601985652028,-1.7327635184093202,1.5581456269342375e-5
npz_dep:Weekday,MMP202002:W-GMP202201:M,0,-5.4476827520306825,-9.162601985652035,-1.732763518409329,1.5581456269453398e-5
npz_dep:Weekday,MMP202002:Th-GMP202201:M,0,-5.447682752030681,-9.162601985652035,-1.7327635184093273,1.5581456269453398e-5
npz_dep:Weekday,MMP202002:F-GMP202201:M,0,-5.44768275203067,-9.162601985652024,-1.7327635184093166,1.5581456269231353e-5
npz_dep:Weekday,MMP202002:Sa-GMP202201:M,0,-5.449670329670436,-9.110536373742567,-1.7888042855983048,9.760610680920045e-6
npz_dep:Weekday,MMP202002:Su-GMP202201:M,0,-5.448717948718058,-9.135583368125838,-1.761852529310279,1.2253828382879917e-5
npz_dep:Weekday,MMP202002:M-JMP202201:M,0,-4.0261756876664325,-7.655340121767399,-0.39701125356546685,0.010623228112309868
npz_dep:Weekday,MMP202002:T-JMP202201:M,0,-4.026175687666498,-7.655340121767464,-0.3970112535655326,0.010623228112308092
npz_dep:Weekday,MMP202002:W-JMP202201:M,0,-4.026175687666507,-7.655340121767473,-0.39701125356554146,0.010623228112306315
npz_dep:Weekday,MMP202002:Th-JMP202201:M,0,-4.026175687666505,-7.6553401217674715,-0.3970112535655397,0.01062322811230676
npz_dep:Weekday,MMP202002:F-JMP202201:M,0,-4.026175687666495,-7.655340121767461,-0.397011253565529,0.010623228112307537
