term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
npz_dep,NMP201909-DMP202009,0,-2.1062441752096843,-2.391172989006363,-1.8213153614130055,1.2212453270876722e-14
npz_dep:Weekday,NMP201909:M-DMP202009:M,0,-2.1190476190476173,-3.425000031182461,-0.8130952069127735,9.332818541318844e-6
npz_dep:Weekday,NMP201909:T-DMP202009:M,0,-2.049404761904759,-3.3769446267874836,-0.721864897022034,3.4046789135433464e-5
npz_dep:Weekday,NMP201909:W-DMP202009:M,0,-2.006547619047616,-3.31250003118246,-0.7005952069127723,3.8281738277357036e-5
npz_dep:Weekday,NMP201909:Th-DMP202009:M,0,-2.0065476190476157,-3.3125000311824593,-0.7005952069127719,3.8281738277357036e-5
npz_dep:Weekday,NMP201909:F-DMP202009:M,0,-2.006547619047616,-3.31250003118246,-0.7005952069127723,3.8281738277357036e-5
npz_dep:Weekday,NMP201909:Sa-DMP202009:M,0,-2.006547619047616,-3.31250003118246,-0.7005952069127723,3.8281738277357036e-5
npz_dep:Weekday,NMP201909:Su-DMP202009:M,0,-2.006547619047616,-3.31250003118246,-0.7005952069127723,3.8281738277357036e-5
npz_dep:Weekday,DMP202009:T-NMP201909:M,0,2.1286375661375585,0.8594799507849822,3.397795181490135,3.7015378544502653e-6
npz_dep:Weekday,DMP202009:W-NMP201909:M,0,2.1286375661375585,0.8594799507849822,3.397795181490135,3.7015378544502653e-6
npz_dep:Weekday,DMP202009:Th-NMP201909:M,0,2.254464285714278,0.9485118735794342,3.5604166978491216,1.5810814912864402e-6
npz_dep:Weekday,DMP202009:F-NMP201909:M,0,2.254464285714281,0.9485118735794373,3.560416697849125,1.5810814912864402e-6
npz_dep:Weekday,DMP202009:Sa-NMP201909:M,0,2.2544642857142736,0.9485118735794298,3.560416697849117,1.5810814912864402e-6
npz_dep:Weekday,DMP202009:Su-NMP201909:M,0,2.2544642857142767,0.9485118735794329,3.5604166978491207,1.5810814912864402e-6
npz_dep:Weekday,NMP201909:T-DMP202009:T,0,-2.0589947089947005,-3.3503550160738147,-0.7676344019155861,1.490396431291785e-5
npz_dep:Weekday,NMP201909:W-DMP202009:T,0,-2.016137566137557,-3.285295181490133,-0.7469799507849806,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:Th-DMP202009:T,0,-2.016137566137557,-3.285295181490133,-0.7469799507849806,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:F-DMP202009:T,0,-2.016137566137558,-3.285295181490134,-0.7469799507849815,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:Sa-DMP202009:T,0,-2.0161375661375573,-3.2852951814901337,-0.746979950784981,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:Su-DMP202009:T,0,-2.016137566137558,-3.285295181490134,-0.7469799507849815,1.6419387109722905e-5
npz_dep:Weekday,DMP202009:W-NMP201909:T,0,2.0589947089947005,0.7676344019155861,3.3503550160738147,1.490396431291785e-5
