term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
npz_dep,TRMP202105-GMP202201,0,0.25609756097560615,0.2067400820988634,0.3054550398523489,5.027509519806017e-10
npz_dep,TRMP202105-JMP202201,0,0.25609756097560915,0.209039663010633,0.3031554589405853,5.027509519806017e-10
npz_dep,TRMP202105-MMP202002,0,0.2560975609756099,0.21439923960842813,0.29779588234279164,5.027509519806017e-10
npz_dep,TRMP202105-SWCMP202201,0,0.25609756097560704,0.2056321534172461,0.30656296853396797,5.027509519806017e-10
npz_dep:Weekday,TRMP202105:M-GMP202201:M,0,0.23999999999999677,0.0586161414306417,0.42138385856935184,2.7087304480255536e-4
npz_dep:Weekday,TRMP202105:T-GMP202201:M,0,0.24999999999999678,0.067327957989346765,0.4326720420106468,1.1309042085871912e-4
npz_dep:Weekday,TRMP202105:W-GMP202201:M,0,0.2608695652173881,0.07680754908356971,0.4449315813512065,4.2864462084790667e-5
npz_dep:Weekday,TRMP202105:Th-GMP202201:M,0,0.260869565217388,0.07680754908356965,0.44493158135120636,4.2864462084679644e-5
npz_dep:Weekday,TRMP202105:F-GMP202201:M,0,0.2608695652173881,0.07680754908356971,0.4449315813512065,4.2864462084790667e-5
npz_dep:Weekday,TRMP202105:Sa-GMP202201:M,0,0.2608695652173881,0.07680754908356971,0.4449315813512065,4.2864462084790667e-5
npz_dep:Weekday,TRMP202105:Su-GMP202201:M,0,0.2608695652173881,0.07680754908356971,0.4449315813512065,4.2864462084790667e-5
npz_dep:Weekday,TRMP202105:M-JMP202201:M,0,0.2399999999999994,0.06292926096137377,0.417070739038625,1.4618269854860255e-4
npz_dep:Weekday,TRMP202105:T-JMP202201:M,0,0.24999999999999942,0.07160992906969804,0.4283900709303008,5.901032024036024e-5
npz_dep:Weekday,TRMP202105:W-JMP202201:M,0,0.2608695652173907,0.08105641704011396,0.4406827133946674,2.1584358510962076e-5
npz_dep:Weekday,TRMP202105:Th-JMP202201:M,0,0.26086956521739063,0.0810564170401139,0.44068271339466736,2.1584358510962076e-5
npz_dep:Weekday,TRMP202105:F-JMP202201:M,0,0.2608695652173907,0.08105641704011396,0.4406827133946674,2.1584358510962076e-5
npz_dep:Weekday,TRMP202105:Sa-JMP202201:M,0,0.2608695652173907,0.08105641704011396,0.4406827133946674,2.1584358510962076e-5
npz_dep:Weekday,TRMP202105:Su-JMP202201:M,0,0.2608695652173907,0.08105641704011396,0.4406827133946674,2.1584358510962076e-5
npz_dep:Weekday,TRMP202105:M-MMP202002:M,0,0.2400000000000001,0.08673774368841752,0.3932622563115827,1.8201983135179844e-6
npz_dep:Weekday,TRMP202105:T-MMP202002:M,0,0.2500000000000001,0.09521534316170066,0.40478465683829956,6.011136064465461e-7
npz_dep:Weekday,TRMP202105:W-MMP202002:M,0,0.2608695652173914,0.10444692988779644,0.41729220054698635,1.7828506604367078e-7
npz_dep:Weekday,TRMP202105:Th-MMP202002:M,0,0.26086956521739135,0.10444692988779639,0.41729220054698635,1.7828506604367078e-7
npz_dep:Weekday,TRMP202105:F-MMP202002:M,0,0.2608695652173914,0.10444692988779644,0.41729220054698635,1.7828506604367078e-7
npz_dep:Weekday,TRMP202105:Sa-MMP202002:M,0,0.2608695652173914,0.10444692988779644,0.41729220054698635,1.7828506604367078e-7
npz_dep:Weekday,TRMP202105:Su-MMP202002:M,0,0.2608695652173914,0.10444692988779644,0.41729220054698635,1.7828506604367078e-7
npz_dep:Weekday,TRMP202105:M-SWCMP202201:M,0,0.23999999999999727,0.053710338639968186,0.42628966136002633,5.184812780817394e-4
npz_dep:Weekday,TRMP202105:T-SWCMP202201:M,0,0.24999999999999728,0.06245584863166695,0.4375441513683276,2.246663719160935e-4
npz_dep:Weekday,TRMP202105:W-SWCMP202201:M,0,0.2608695652173886,0.07197128686797497,0.4497678435668022,8.857205738699303e-5
npz_dep:Weekday,TRMP202105:Th-SWCMP202201:M,0,0.2608695652173885,0.07197128686797491,0.4497678435668021,8.857205738699303e-5
npz_dep:Weekday,TRMP202105:F-SWCMP202201:M,0,0.2608695652173886,0.07197128686797497,0.4497678435668022,8.857205738699303e-5
npz_dep:Weekday,TRMP202105:Sa-SWCMP202201:M,0,0.2608695652173886,0.07197128686797497,0.4497678435668022,8.857205738699303e-5
npz_dep:Weekday,TRMP202105:Su-SWCMP202201:M,0,0.2608695652173886,0.07197128686797497,0.4497678435668022,8.857205738699303e-5
npz_dep:Weekday,GMP202201:T-TRMP202105:M,0,-0.23999999999999674,-0.4213838585693518,-0.05861614143064167,2.7087304480255536e-4
npz_dep:Weekday,JMP202201:T-TRMP202105:M,0,-0.23999999999999938,-0.417070739038625,-0.06292926096137375,1.4618269854860255e-4
npz_dep:Weekday,MMP202002:T-TRMP202105:M,0,-0.2400000000000001,-0.3932622563115827,-0.08673774368841752,1.8201983135179844e-6
npz_dep:Weekday,SWCMP202201:T-TRMP202105:M,0,-0.23999999999999727,-0.42138385856935234,-0.0586161414306422,2.708730448023333e-4
npz_dep:Weekday,GMP202201:W-TRMP202105:M,0,-0.23999999999999486,-0.4213838585693499,-0.058616141430639784,2.7087304480255536e-4
