Site_ID,ves_yn,network,npz_id,Dep,Date_week,n_hours,name,Perc_per_hour
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-09-16,111,freq,0.9098360655737705
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-09-23,153,freq,0.9107142857142857
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-09-30,146,freq,0.8690476190476191
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-10-07,139,freq,0.8273809523809523
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-10-14,155,freq,0.9226190476190477
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-10-21,158,freq,0.9404761904761905
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-10-28,159,freq,0.9464285714285714
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-11-04,152,freq,0.9047619047619048
DNE,N,Northwest,DMP,DAMPIER_202009_DNE,2025-11-11,67,freq,0.9571428571428572
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-09-16,11,freq,0.09016393442622951
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-09-23,15,freq,0.08928571428571429
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-09-30,22,freq,0.13095238095238096
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-10-07,29,freq,0.17261904761904762
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-10-14,13,freq,0.07738095238095238
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-10-21,10,freq,0.05952380952380952
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-10-28,9,freq,0.05357142857142857
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-11-04,16,freq,0.09523809523809523
DNE,Y,Northwest,DMP,DAMPIER_202009_DNE,2025-11-11,3,freq,0.04285714285714286
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-09-16,99,freq,0.8114754098360656
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-09-23,147,freq,0.875
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-09-30,130,freq,0.7738095238095238
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-10-07,140,freq,0.8333333333333334
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-10-14,140,freq,0.8333333333333334
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-10-21,143,freq,0.8511904761904762
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-10-28,146,freq,0.8690476190476191
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-11-04,149,freq,0.8869047619047619
DSW,N,Northwest,DMP,DAMPIER_202009_DSW,2025-11-11,60,freq,0.8571428571428571
