network,npz_id,Site_ID,Dep,Week,Date_week,Date_noyr,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-22,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-23,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-24,1,4,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-25,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-10-26,1,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-10-27,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-10-28,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-10-29,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-10-30,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-10-31,1,3,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2000-11-01,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,45,2025-11-11,2000-11-02,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,45,2025-11-11,2000-11-03,1,6,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,45,2025-11-11,2000-11-04,1,2,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2000-09-25,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2000-09-26,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2000-09-27,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2000-09-28,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2000-09-29,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-09-30,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-10-01,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-10-02,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-10-03,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-10-04,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-10-05,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2000-10-06,1,0,0,0
