network,npz_id,Weekday,median_prop,qt25,qt75,min_perc,max_perc
Temperate East,CGMP,M,0.20833333333333334,0.08333333333333333,0.3854166666666667,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,T,0.27083333333333337,0.16666666666666666,0.3645833333333333,0.041666666666666664,0.5416666666666666
Temperate East,CGMP,W,0.2916666666666667,0.125,0.3333333333333333,0.041666666666666664,0.5416666666666666
Temperate East,CGMP,R,0.25,0.10416666666666666,0.4166666666666667,0.041666666666666664,0.625
Temperate East,CGMP,F,0.20833333333333334,0.08333333333333333,0.3125,0.041666666666666664,0.5
Temperate East,CGMP,Sa,0.25,0.08333333333333333,0.4166666666666667,0.041666666666666664,0.6666666666666666
Temperate East,CGMP,Su,0.20833333333333334,0.10416666666666666,0.375,0.041666666666666664,0.5
Temperate East,SIMP,M,0.125,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.4166666666666667
Temperate East,SIMP,T,0.16666666666666666,0.08333333333333333,0.2604166666666667,0.041666666666666664,0.5
Temperate East,SIMP,W,0.20833333333333334,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.4166666666666667
Temperate East,SIMP,R,0.25,0.07291666666666667,0.3333333333333333,0.041666666666666664,0.5
Temperate East,SIMP,F,0.16666666666666666,0.08333333333333333,0.22916666666666669,0.041666666666666664,0.375
Temperate East,SIMP,Sa,0.25,0.125,0.2916666666666667,0.041666666666666664,0.4166666666666667
Temperate East,SIMP,Su,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.3333333333333333
Northwest,DMP,M,0.08333333333333333,0.05208333333333333,0.125,0.041666666666666664,0.3333333333333333
Northwest,DMP,T,0.125,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.3333333333333333
Northwest,DMP,W,0.125,0.09090909090909091,0.16666666666666666,0.045454545454545456,0.25
Northwest,DMP,R,0.20833333333333334,0.125,0.22916666666666669,0.041666666666666664,0.4166666666666667
Northwest,DMP,F,0.125,0.08333333333333333,0.1875,0.041666666666666664,0.375
Northwest,DMP,Sa,0.10416666666666666,0.05208333333333333,0.125,0.041666666666666664,0.25
Northwest,DMP,Su,0.08333333333333333,0.041666666666666664,0.125,0.041666666666666664,0.2916666666666667
Northwest,NMP,M,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333
Northwest,NMP,T,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.20833333333333334
Northwest,NMP,W,0.041666666666666664,0.041666666666666664,0.0625,0.041666666666666664,0.08333333333333333
Northwest,NMP,R,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.20833333333333334
Northwest,NMP,F,0.0625,0.041666666666666664,0.09375,0.041666666666666664,0.125
Northwest,NMP,Sa,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333
Northwest,NMP,Su,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125
South-west,GMP,M,0.125,0.08333333333333333,0.1875,0.041666666666666664,0.25
South-west,GMP,T,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.375
South-west,GMP,W,0.20833333333333334,0.125,0.3125,0.041666666666666664,0.375
South-west,GMP,R,0.125,0.08333333333333333,0.29166666666666663,0.041666666666666664,0.4166666666666667
South-west,GMP,F,0.27083333333333337,0.23958333333333334,0.34375,0.041666666666666664,0.4583333333333333
South-west,GMP,Sa,0.375,0.14583333333333331,0.5,0.041666666666666664,0.7083333333333334
South-west,GMP,Su,0.3125,0.17708333333333334,0.375,0.041666666666666664,0.5
South-west,JMP,M,0.14583333333333331,0.041666666666666664,0.17708333333333334,0.041666666666666664,0.25
South-west,JMP,T,0.14583333333333331,0.07291666666666667,0.17708333333333334,0.041666666666666664,0.3333333333333333
South-west,JMP,W,0.125,0.10906862745098038,0.17708333333333334,0.041666666666666664,0.2916666666666667
South-west,JMP,R,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,JMP,F,0.16666666666666666,0.125,0.20833333333333334,0.041666666666666664,0.3333333333333333
South-west,JMP,Sa,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.4166666666666667
South-west,JMP,Su,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.25
South-west,MMP,F,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
South-west,MMP,Sa,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
South-west,SWCMP,M,0.125,0.11458333333333333,0.16666666666666666,0.041666666666666664,0.2916666666666667
South-west,SWCMP,T,0.16666666666666666,0.11458333333333333,0.20833333333333334,0.041666666666666664,0.25
South-west,SWCMP,W,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,SWCMP,R,0.16666666666666666,0.125,0.22916666666666669,0.08333333333333333,0.3333333333333333
South-west,SWCMP,F,0.125,0.11458333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,SWCMP,Sa,0.20833333333333334,0.11458333333333333,0.2916666666666667,0.08333333333333333,0.4583333333333333
South-west,SWCMP,Su,0.14583333333333331,0.08333333333333333,0.17708333333333334,0.041666666666666664,0.2916666666666667
South-west,TRMP,M,0.125,0.041666666666666664,0.27083333333333337,0.041666666666666664,0.4583333333333333
South-west,TRMP,T,0.125,0.041666666666666664,0.33333333333333337,0.041666666666666664,0.5
