network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-10-26,W,2020-10-21,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,F,2020-10-30,7,0,4,0,3,0,1
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,M,2020-10-26,1,0,1,0,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,Sa,2020-10-31,1,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,Su,2020-11-01,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,Th,2020-10-29,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,T,2020-10-27,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-02,W,2020-10-28,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-09,M,2020-11-02,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-09,T,2020-11-03,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-11-09,W,2020-11-04,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-14,F,2020-09-11,7,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-14,Sa,2020-09-12,8,0,1,0,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-14,Su,2020-09-13,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-14,Th,2020-09-10,7,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-14,T,2020-09-08,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-14,W,2020-09-09,3,1,1,1,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,F,2020-09-18,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,M,2020-09-14,3,0,0,0,0,0,0
