network.x,npz_id.x,Site_ID.x,Dep,Begin_Hour_loc,mean_diel,mean_diel_ins,mean_diel_ins_sm,sd_lower,sd_upper,sd_lower_ins,sd_upper_ins,sd_lower_ins_sm,sd_upper_ins_sm
Temperate East,CGMP,CG,CGMP_201807_CG,0,-0.43333333333333335,-0.04642857142857143,-0.2357142857142857,-0.6123906433217223,-0.25427602334494437,-0.06942986378067424,-0.02342727907646862,-0.06942986378067424,-0.13328158657623557
Temperate East,CGMP,CG,CGMP_201807_CG,1,-0.319047619047619,-0.04642857142857143,-0.2357142857142857,-0.498104929036008,-0.13999030905923004,-0.06942986378067424,-0.02342727907646862,-0.06942986378067424,-0.13328158657623557
Temperate East,CGMP,CG,CGMP_201807_CG,2,-0.23333333333333334,-0.04642857142857143,-0.12142857142857143,-0.4123906433217223,-0.05427602334494436,-0.06942986378067424,-0.02342727907646862,-0.06942986378067424,-0.018995872290521285
Temperate East,CGMP,CG,CGMP_201807_CG,3,-0.3476190476190476,-0.04642857142857143,-0.17857142857142858,-0.5266763576074366,-0.16856173763065863,-0.06942986378067424,-0.02342727907646862,-0.06942986378067424,-0.07613872943337843
Temperate East,CGMP,CG,CGMP_201807_CG,4,-0.23333333333333334,-0.04642857142857143,-0.09285714285714286,-0.4123906433217223,-0.05427602334494436,-0.06942986378067424,-0.02342727907646862,-0.06942986378067424,0.009575556280907283
Temperate East,CGMP,CG,CGMP_201807_CG,5,-0.3761904761904762,-0.017857142857142856,-0.20714285714285713,-0.5552477861788652,-0.1971331662020872,-0.04085843520924567,0.005144149494959956,-0.04085843520924567,-0.10471015800480699
Temperate East,CGMP,CG,CGMP_201807_CG,6,0.22380952380952382,0.06785714285714285,0.10714285714285715,0.04475221382113484,0.40286683379791277,0.04485585050504004,0.09085843520924566,0.04485585050504004,0.2095755562809073
Temperate East,CGMP,CG,CGMP_201807_CG,7,0.4523809523809524,0.06785714285714287,0.33571428571428574,0.2733236423925634,0.6314382623693413,0.044855850505040054,0.09085843520924568,0.044855850505040054,0.4381469848523359
Temperate East,CGMP,CG,CGMP_201807_CG,8,0.48095238095238096,0.039285714285714285,0.19285714285714287,0.301895070963992,0.66000969094077,0.016284421933611473,0.0622870066378171,0.016284421933611473,0.29528984199519304
Temperate East,CGMP,CG,CGMP_201807_CG,9,0.6238095238095238,0.09642857142857143,0.33571428571428574,0.44475221382113483,0.8028668337979128,0.07342727907646862,0.11942986378067424,0.07342727907646862,0.4381469848523359
Temperate East,CGMP,CG,CGMP_201807_CG,10,0.48095238095238096,0.010714285714285716,0.19285714285714287,0.301895070963992,0.66000969094077,-0.012287006637817096,0.03371557806638853,-0.012287006637817096,0.29528984199519304
Temperate East,CGMP,CG,CGMP_201807_CG,11,0.48095238095238096,0.06785714285714287,0.2785714285714286,0.301895070963992,0.66000969094077,0.044855850505040054,0.09085843520924568,0.044855850505040054,0.3810041277094787
Temperate East,CGMP,CG,CGMP_201807_CG,12,0.4238095238095238,0.039285714285714285,0.3357142857142857,0.24475221382113482,0.6028668337979128,0.016284421933611473,0.0622870066378171,0.016284421933611473,0.43814698485233583
Temperate East,CGMP,CG,CGMP_201807_CG,13,0.16666666666666666,-0.017857142857142856,-0.007142857142857148,-0.012390643321722322,0.3457239766550556,-0.04085843520924567,0.005144149494959956,-0.04085843520924567,0.095289841995193
Temperate East,CGMP,CG,CGMP_201807_CG,14,0.3380952380952381,0.039285714285714285,0.22142857142857142,0.15903792810684914,0.5171525480836271,0.016284421933611473,0.0622870066378171,0.016284421933611473,0.32386127056662156
Temperate East,CGMP,CG,CGMP_201807_CG,15,0.16666666666666669,-0.04642857142857143,0.10714285714285715,-0.012390643321722294,0.34572397665505566,-0.06942986378067424,-0.02342727907646862,-0.06942986378067424,0.2095755562809073
Temperate East,CGMP,CG,CGMP_201807_CG,16,0.10952380952380954,0.03928571428571429,0.07857142857142858,-0.06953350046457944,0.2885811195121985,0.01628442193361148,0.062287006637817104,0.01628442193361148,0.1810041277094787
Temperate East,CGMP,CG,CGMP_201807_CG,17,-0.20476190476190476,-0.017857142857142856,-0.09285714285714285,-0.38381921475029374,-0.025704594773515776,-0.04085843520924567,0.005144149494959956,-0.04085843520924567,0.009575556280907296
Temperate East,CGMP,CG,CGMP_201807_CG,18,-0.23333333333333334,0.010714285714285716,-0.09285714285714286,-0.4123906433217223,-0.05427602334494436,-0.012287006637817096,0.03371557806638853,-0.012287006637817096,0.009575556280907283
Temperate East,CGMP,CG,CGMP_201807_CG,19,-0.319047619047619,-0.017857142857142856,-0.17857142857142858,-0.498104929036008,-0.13999030905923004,-0.04085843520924567,0.005144149494959956,-0.04085843520924567,-0.07613872943337843
