Dep,Weekday,ves_yn,network,npz_id,Site_ID,Date_noyr,Begin_Date_loc,n_hours,name,Perc_per_hour
CGMP_201807_CG,T,Y,Temperate East,CGMP,CG,2000-07-10,2018-07-10,1,freq,0.041666666666666664
CGMP_201807_CG,T,Y,Temperate East,CGMP,CG,2000-07-17,2018-07-17,11,freq,0.4583333333333333
CGMP_201807_CG,T,Y,Temperate East,CGMP,CG,2000-07-24,2018-07-24,9,freq,0.375
CGMP_201807_CG,T,Y,Temperate East,CGMP,CG,2000-07-31,2018-07-31,9,freq,0.375
CGMP_201807_CG,W,N,Temperate East,CGMP,CG,2000-07-04,2018-07-04,22,freq,0.9166666666666666
CGMP_201807_CG,W,N,Temperate East,CGMP,CG,2000-07-11,2018-07-11,16,freq,0.6666666666666666
CGMP_201807_CG,W,N,Temperate East,CGMP,CG,2000-07-18,2018-07-18,14,freq,0.5833333333333334
CGMP_201807_CG,W,N,Temperate East,CGMP,CG,2000-07-25,2018-07-25,16,freq,0.6666666666666666
CGMP_201807_CG,W,N,Temperate East,CGMP,CG,2000-08-01,2018-08-01,15,freq,0.625
CGMP_201807_CG,W,Y,Temperate East,CGMP,CG,2000-07-04,2018-07-04,2,freq,0.08333333333333333
CGMP_201807_CG,W,Y,Temperate East,CGMP,CG,2000-07-11,2018-07-11,8,freq,0.3333333333333333
CGMP_201807_CG,W,Y,Temperate East,CGMP,CG,2000-07-18,2018-07-18,10,freq,0.4166666666666667
CGMP_201807_CG,W,Y,Temperate East,CGMP,CG,2000-07-25,2018-07-25,8,freq,0.3333333333333333
CGMP_201807_CG,W,Y,Temperate East,CGMP,CG,2000-08-01,2018-08-01,9,freq,0.375
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-01-04,2019-01-04,20,freq,0.8333333333333334
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-01-11,2019-01-11,17,freq,0.7083333333333334
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-01-18,2019-01-18,23,freq,0.9583333333333334
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-01-25,2019-01-25,16,freq,0.6666666666666666
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-02-01,2019-02-01,23,freq,0.9583333333333334
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-02-08,2019-02-08,15,freq,0.625
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-02-15,2019-02-15,24,freq,1
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-12-14,2018-12-14,24,freq,1
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-12-21,2018-12-21,22,freq,0.9166666666666666
CGMP_201812_CG,F,N,Temperate East,CGMP,CG,2000-12-28,2018-12-28,23,freq,0.9583333333333334
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-01-04,2019-01-04,4,freq,0.16666666666666666
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-01-11,2019-01-11,7,freq,0.2916666666666667
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-01-18,2019-01-18,1,freq,0.041666666666666664
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-01-25,2019-01-25,8,freq,0.3333333333333333
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-02-01,2019-02-01,1,freq,0.041666666666666664
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-02-08,2019-02-08,9,freq,0.375
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-12-21,2018-12-21,2,freq,0.08333333333333333
CGMP_201812_CG,F,Y,Temperate East,CGMP,CG,2000-12-28,2018-12-28,1,freq,0.041666666666666664
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-01-07,2019-01-07,13,freq,0.5416666666666666
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-01-14,2019-01-14,13,freq,0.5416666666666666
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-01-21,2019-01-21,13,freq,0.5416666666666666
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-01-28,2019-01-28,21,freq,0.875
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-02-04,2019-02-04,24,freq,1
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-02-11,2019-02-11,23,freq,0.9583333333333334
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-02-18,2019-02-18,24,freq,1
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-12-17,2018-12-17,23,freq,0.9583333333333334
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-12-24,2018-12-24,19,freq,0.7916666666666666
CGMP_201812_CG,M,N,Temperate East,CGMP,CG,2000-12-31,2018-12-31,24,freq,1
